ID,prevalence,Group
IF_085__1840,0.246154,Y
KWS_10661__1823,0.0307692,Y
KWS_10632__228856,0,Y
S_7G26__k141_22787,0.261538,Y
KWS_10911__52533,0.0307692,Y
S_7G8__52116,0,Y
KWS_10639__12643,0.630769,Y
KeioHC_13__31344,0.0307692,Y
IF_053__83829,0.630769,Y
KeioHC_106__k141_98938,0.0307692,Y
IF_046-2__23896,0.861538,Y
KeioHC_10__200041,0.0153846,Y
KWS_10659__k141_17274,0.0461538,Y
IF_154rewa__k141_83174,0.0769231,Y
KWS_10465__9070,0.0769231,Y
IF_151__24671,0.0615385,Y
KeioHC_102__k141_32317,0.646154,Y
S_6G5__41595,0.0461538,Y
IF_117__229378,0.0615385,Y
KWS_10638__79587,0.0461538,Y
KWS_10992re__50572,0,Y
IF_030-2__21635,0.107692,Y
KWS_10915__70408,0.0153846,Y
S_6G3__2627,0,Y
S_6G16__229508,0.0307692,Y
IF_086__k141_74328,0.0153846,Y
S_7G50__6215,0.215385,Y
KWS_10915__51470,0.0307692,Y
KWS_10983__5281,0,Y
S_7G6__82075,0.0153846,Y
KeioHC_120__170566,0.815385,Y
IF_050__7965,0,Y
IF_033__k141_63929,0,Y
KWS_10912__55627,0.123077,Y
KWS_10997__77380,0.0307692,Y
IF_081__68435,0.230769,Y
S_7G27__95804,0.0615385,Y
KWS_10653__166145,0.861538,Y
IF_127__3596,0,Y
IF_029__113798,0,Y
IF_028__36362,0.230769,Y
IF_130__19879,0.107692,Y
IF_008__4919,0.6,Y
KWS_10911__278580,0.0461538,Y
IF_150__36957,0,Y
KWS_10562__2279,0.923077,Y
S_7G12__k141_57819,0.123077,Y
S_6G5__99682,0.153846,Y
IF_139__2015,0.153846,Y
IF_079__159568,0.0923077,Y
KWS_10638__132434,0,Y
IF_072__79425,0,Y
KWS_10473__69145,0.0923077,Y
KWS_10477__12366,0.446154,Y
KWS_10656__9889,0.230769,Y
S_6G3__34970,0.0307692,Y
KWS_10993__829,0.292308,Y
S_7G7__208761,0.0461538,Y
KWS_10985__9946,0.123077,Y
IF_065__215457,0.107692,Y
KWS_10549__188636,0.230769,Y
S_7G21__9615,0.0461538,Y
IF_163__10007,0.0153846,Y
KWS_10983__85588,0.0461538,Y
KWS_10644__3405,0.0153846,Y
IF_080__11272,0,Y
KWS_10539__6905,0.123077,Y
KWS_10461__18498,0.0153846,Y
KWS_10992re__2166,0,Y
IF_081__2015,0,Y
IF_177__8938,0.338462,Y
S_7G14__212491,0,Y
KWS_10552__4803,0.0153846,Y
KWS_10476__177054,0.169231,Y
IF_004__29299,0.0153846,Y
IF_002-2re__77959,0.230769,Y
KWS_10911__150681,0.0153846,Y
KWS_10661__2627,0.0923077,Y
IF_072__5159,0.0461538,Y
S_7G14__69861,0.0615385,Y
