ID,Color,Type,Group
IF_042-2__2530,#000000,ref,ref
S_7G29__5454,#000000,ref,ref
IF_072__2233,#000000,ref,ref
IF_050-2__134631,#000000,ref,ref
IF_100-2__4072,#000000,ref,ref
S_7G45__73825,#000000,ref,ref
KWS_10989__146908,#000000,ref,ref
KWS_10562__2279,#000000,ref,ref
KWS_10476__206749,#000000,ref,ref
S_7G7__12726,#000000,ref,ref
KWS_10997__133400,#000000,ref,ref
IF_101-2__1908,#000000,ref,ref
S_7G46__750,#000000,ref,ref
KeioHC_117__10051,#000000,ref,ref
KWS_10896__17997,#000000,ref,ref
KWS_10919__776,#000000,ref,ref
S_7G15__8504,#000000,ref,ref
S_7G46__50938,#000000,ref,ref
IF_170__47388,#000000,ref,ref
S_6G5__125739,#000000,ref,ref
IF_099__17598,#000000,ref,ref
S_6G14__243470,#000000,ref,ref
IF_041__14138,#000000,ref,ref
S_7G21__94401,#000000,ref,ref
IF_046-2__52764,#000000,ref,ref
IF_110__23318,#000000,ref,ref
IF_082__17579,#000000,ref,ref
S_7G43__2233,#000000,ref,ref
S_7G18__205138,#000000,ref,ref
KeioHC_113__144562,#000000,ref,ref
S_6G7__20246,#000000,ref,ref
S_7G12__2015,#000000,ref,ref
IF_079__104283,#000000,ref,ref
IF_020-2__90730,#000000,ref,ref
KWS_10539__55861,#000000,ref,ref
KWS_10993__829,#000000,ref,ref
KeioHC_K2__66804,#000000,ref,ref
IF_076__6273,#000000,ref,ref
IF_019__18163,#000000,ref,ref
IF_187__126965,#000000,ref,ref
IF_092-2__63067,#000000,ref,ref
S_7G21__73177,#000000,ref,ref
KWS_10466__127775,#000000,ref,ref
KeioHC_126__18163,#000000,ref,ref
S_7G43__85763,#000000,ref,ref
IF_085__95741,#000000,ref,ref
KWS_10997__52794,#000000,ref,ref
IF_070__3596,#000000,ref,ref
IF_082__12394,#000000,ref,ref
KeioHC_5__243508,#000000,ref,ref
S_6G16__19908,#000000,ref,ref
IF_100__4878,#000000,ref,ref
KWS_10480__6227,#000000,ref,ref
S_7G15__178214,#000000,ref,ref
IF_150__3596,#000000,ref,ref
S_6G7__23446,#000000,ref,ref
S_7G34__21398,#000000,ref,ref
KeioHC_13__14723,#000000,ref,ref
KWS_10648__902,#000000,ref,ref
KWS_10558__129054,#000000,ref,ref
IF_081__3209,#000000,ref,ref
S_7G25__180202,#000000,ref,ref
IF_011__202164,#000000,ref,ref
S_6G7__66762,#000000,ref,ref
KWS_10638__19423,#000000,ref,ref
KeioHC_10__85049,#000000,ref,ref
S_7G18__75251,#000000,ref,ref
S_7G24__113534,#000000,ref,ref
IF_099__1696,#000000,ref,ref
KeioHC_114__40313,#000000,ref,ref
S_7G4__1427,#000000,ref,ref
IF_047-2__123521,#000000,ref,ref
KeioHC_15__34441,#000000,ref,ref
IF_065__3600,#000000,ref,ref
S_7G28__2233,#000000,ref,ref
S_6G3__2978,#000000,ref,ref
S_6G1__5054,#000000,ref,ref
KWS_10549__139974,#000000,ref,ref
S_7G34__181834,#000000,ref,ref
IF_150__2015,#000000,ref,ref
IF_026__7851,#000000,ref,ref
KWS_10644__49880,#000000,ref,ref
KeioHC_3__14138,#000000,ref,ref
IF_101__2667,#000000,ref,ref
KWS_10911__150681,#000000,ref,ref
IF_130__283130,#000000,ref,ref
IF_002-2re__42246,#000000,ref,ref
KWS_10549__210612,#000000,ref,ref
KeioHC_10__22832,#000000,ref,ref
KWS_10547__18163,#000000,ref,ref
KeioHC_5__9066,#000000,ref,ref
IF_184__189426,#000000,ref,ref
IF_064__23489,#000000,ref,ref
IF_096__222343,#000000,ref,ref
IF_079__20062,#000000,ref,ref
KWS_10988__12445,#000000,ref,ref
KWS_10648__106127,#000000,ref,ref
KWS_10993__12238,#000000,ref,ref
IF_079__13241,#000000,ref,ref
IF_038__149388,#000000,ref,ref
S_7G21__12409,#000000,ref,ref
IF_173__49398,#000000,ref,ref
S_7G29__12792,#000000,ref,ref
IF_115__2661,#000000,ref,ref
KWS_10983__38532,#000000,ref,ref
S_6G11__9946,#000000,ref,ref
KWS_10558__13727,#000000,ref,ref
S_7G30__288237,#000000,ref,ref
IF_167__902,#000000,ref,ref
IF_069__264563,#000000,ref,ref
IF_100__2784,#000000,ref,ref
S_7G30__36074,#000000,ref,ref
KWS_10998__27877,#000000,ref,ref
IF_127__3596,#000000,ref,ref
S_6G10__54370,#000000,ref,ref
KWS_10539__1459,#000000,ref,ref
IF_117__21488,#000000,ref,ref
S_6G14__102469,#000000,ref,ref
KWS_10476__148502,#000000,ref,ref
IF_104__5032,#000000,ref,ref
KeioHC_120__58214,#000000,ref,ref
KWS_10463__214911,#000000,ref,ref
IF_130__47763,#000000,ref,ref
S_6G7__57087,#000000,ref,ref
IF_008__4919,#000000,ref,ref
IF_178__210252,#000000,ref,ref
IF_132__1618,#000000,ref,ref
IF_093__105652,#000000,ref,ref
KWS_10477__86087,#000000,ref,ref
IF_130__12085,#000000,ref,ref
KWS_10991__20934,#000000,ref,ref
IF_008__281254,#000000,ref,ref
KWS_10911__40255,#000000,ref,ref
S_7G44__112039,#000000,ref,ref
KWS_10632__43010,#000000,ref,ref
IF_165__39358,#000000,ref,ref
S_6G7__288414,#000000,ref,ref
KWS_10563__10051,#000000,ref,ref
KWS_10636__8258,#000000,ref,ref
S_7G14__105652,#000000,ref,ref
IF_022__2015,#000000,ref,ref
IF_072__5159,#000000,ref,ref
IF_025__8760,#000000,ref,ref
KWS_10655__7139,#000000,ref,ref
IF_128__164550,#000000,ref,ref
IF_083__74216,#000000,ref,ref
KWS_10984__30031,#000000,ref,ref
KWS_10784__181200,#000000,ref,ref
IF_102__2233,#000000,ref,ref
KWS_11000__51489,#000000,ref,ref
S_7G46__15474,#000000,ref,ref
IF_028__56698,#000000,ref,ref
IF_076__68097,#000000,ref,ref
S_7G20__29785,#000000,ref,ref
S_7G21__41852,#000000,ref,ref
KWS_10643__4072,#000000,ref,ref
S_7G10__48151,#000000,ref,ref
KWS_10452__2661,#000000,ref,ref
KWS_10638__18163,#000000,ref,ref
IF_068__36870,#000000,ref,ref
IF_057re__141941,#000000,ref,ref
S_7G24__9063,#000000,ref,ref
IF_072__78590,#000000,ref,ref
KWS_10985__130067,#000000,ref,ref
KeioHC_I2__90832,#000000,ref,ref
KeioHC_113__160178,#000000,ref,ref
KWS_10911__6636,#000000,ref,ref
IF_129__3577,#000000,ref,ref
IF_160__177420,#000000,ref,ref
S_7G47__19700,#000000,ref,ref
KWS_10905__633,#000000,ref,ref
IF_159__26584,#000000,ref,ref
IF_028__5199,#000000,ref,ref
IF_108__999,#000000,ref,ref
IF_145__35771,#000000,ref,ref
S_7G45__67864,#000000,ref,ref
KWS_10473__1696,#000000,ref,ref
S_7G34__1955,#000000,ref,ref
KeioHC_103__4072,#000000,ref,ref
KWS_10999__1475,#000000,ref,ref
KeioHC_113__6636,#000000,ref,ref
S_7G20__209615,#000000,ref,ref
KWS_10461__93234,#000000,ref,ref
KeioHC_4__22885,#000000,ref,ref
S_7G26__17997,#000000,ref,ref
KWS_10661__88314,#000000,ref,ref
IF_162__2667,#000000,ref,ref
IF_019__32582,#000000,ref,ref
IF_049__18909,#000000,ref,ref
S_7G14__69861,#000000,ref,ref
KWS_11008__219840,#000000,ref,ref
S_7G51__9801,#000000,ref,ref
KWS_10920__18163,#000000,ref,ref
KWS_10661__31748,#000000,ref,ref
IF_162__1095,#000000,ref,ref
IF_166__5696,#000000,ref,ref
KWS_10467__130451,#000000,ref,ref
IF_169__20578,#000000,ref,ref
KWS_11009__17005,#000000,ref,ref
KeioHC_106__35825,#000000,ref,ref
KWS_10636__80623,#000000,ref,ref
IF_068-2__14911,#000000,ref,ref
IF_183__21688,#000000,ref,ref
IF_101__76071,#000000,ref,ref
KWS_10567__52272,#000000,ref,ref
KWS_10983__2630,#000000,ref,ref
IF_132__2015,#000000,ref,ref
IF_131__2765,#000000,ref,ref
KWS_10467__56708,#000000,ref,ref
S_6G16__102631,#000000,ref,ref
KeioHC_18__191511,#000000,ref,ref
KWS_10476__10438,#000000,ref,ref
IF_045__149344,#000000,ref,ref
S_7G38__999,#000000,ref,ref
IF_121wa__3746,#000000,ref,ref
KeioHC_13__3694,#000000,ref,ref
KeioHC_15__113986,#000000,ref,ref
IF_166__889,#000000,ref,ref
S_7G12__4402,#000000,ref,ref
IF_001__3110,#000000,ref,ref
IF_074__5271,#000000,ref,ref
KeioHC_121__25550,#000000,ref,ref
KWS_10644__17671,#000000,ref,ref
KWS_10983__85588,#000000,ref,ref
IF_121wa__35302,#000000,ref,ref
KeioHC_9__134679,#000000,ref,ref
KWS_10465__9070,#000000,ref,ref
IF_166__46254,#000000,ref,ref
KWS_10638__46427,#000000,ref,ref
KWS_10909__82721,#000000,ref,ref
S_6G7__43019,#000000,ref,ref
IF_148__4072,#000000,ref,ref
S_7G28__124352,#000000,ref,ref
S_7G8__166123,#000000,ref,ref
KWS_10996__27824,#000000,ref,ref
KWS_10906__12512,#000000,ref,ref
S_7G3__304,#000000,ref,ref
S_7G6__52302,#000000,ref,ref
KWS_10560__84526,#000000,ref,ref
KWS_10467__5553,#000000,ref,ref
S_7G26__2233,#000000,ref,ref
IF_151__131955,#000000,ref,ref
S_7G50__132477,#000000,ref,ref
KWS_10567__5337,#000000,ref,ref
KWS_10543__117270,#000000,ref,ref
IF_042__10037,#000000,ref,ref
S_6G2__11532,#000000,ref,ref
KWS_10469__14645,#000000,ref,ref
IF_166__2840,#000000,ref,ref
KWS_10983__5281,#000000,ref,ref
S_6G6__35392,#000000,ref,ref
KWS_10555__16692,#000000,ref,ref
S_7G29__9946,#000000,ref,ref
IF_009__116792,#000000,ref,ref
KWS_10633__72055,#000000,ref,ref
KWS_10656__168343,#000000,ref,ref
S_7G30__264798,#000000,ref,ref
IF_097__77970,#000000,ref,ref
S_6G5__72071,#000000,ref,ref
IF_130__2746,#000000,ref,ref
KeioHC_5__3624,#000000,ref,ref
S_7G6__122621,#000000,ref,ref
IF_101__10918,#000000,ref,ref
S_7G6__90919,#000000,ref,ref
IF_042-2__74017,#000000,ref,ref
S_7G51__21071,#000000,ref,ref
IF_029__39483,#000000,ref,ref
KWS_10989__213127,#000000,ref,ref
S_6G15__2148,#000000,ref,ref
KWS_10655__304,#000000,ref,ref
IF_149__2015,#000000,ref,ref
IF_132__278980,#000000,ref,ref
KWS_10648__17853,#000000,ref,ref
KWS_10468__67163,#000000,ref,ref
KWS_10985__9946,#000000,ref,ref
IF_085__1840,#000000,ref,ref
KWS_10478__133878,#000000,ref,ref
KWS_10903__18163,#000000,ref,ref
IF_091__80025,#000000,ref,ref
IF_046__12220,#000000,ref,ref
IF_099__114793,#000000,ref,ref
IF_022__51451,#000000,ref,ref
KWS_10919__53491,#000000,ref,ref
KWS_10661__2627,#000000,ref,ref
S_7G47__85725,#000000,ref,ref
IF_047__1074,#000000,ref,ref
KWS_10661__17598,#000000,ref,ref
KWS_10545__2824,#000000,ref,ref
KWS_10559__124768,#000000,ref,ref
S_7G40__18119,#000000,ref,ref
IF_038__16995,#000000,ref,ref
KWS_11002__103783,#000000,ref,ref
KWS_10984__16816,#000000,ref,ref
IF_171__3899,#000000,ref,ref
IF_132__116872,#000000,ref,ref
IF_130__99728,#000000,ref,ref
S_7G31__278,#000000,ref,ref
IF_107__49114,#000000,ref,ref
IF_138__223368,#000000,ref,ref
IF_067__208555,#000000,ref,ref
S_6G2__5785,#000000,ref,ref
KWS_10993__100130,#000000,ref,ref
IF_087-3__261525,#000000,ref,ref
S_7G21__45626,#000000,ref,ref
KWS_10481__6636,#000000,ref,ref
S_6G6__36187,#000000,ref,ref
KWS_10481__38905,#000000,ref,ref
S_7G15__13241,#000000,ref,ref
S_7G16__122308,#000000,ref,ref
IF_176__255117,#000000,ref,ref
KWS_10993__19077,#000000,ref,ref
IF_065-2__53229,#000000,ref,ref
IF_122__1466,#000000,ref,ref
KeioHC_123__743,#000000,ref,ref
KWS_10996__20379,#000000,ref,ref
S_7G15__2015,#000000,ref,ref
KWS_10560__7129,#000000,ref,ref
KWS_10639__27912,#000000,ref,ref
KeioHC_110__20584,#000000,ref,ref
S_7G17__29486,#000000,ref,ref
IF_079__13971,#000000,ref,ref
IF_008__24384,#000000,ref,ref
S_7G18__1908,#000000,ref,ref
IF_013__27616,#000000,ref,ref
IF_065__145849,#000000,ref,ref
S_6G12__2978,#000000,ref,ref
S_7G25__9657,#000000,ref,ref
IF_085__176987,#000000,ref,ref
KWS_10652__67850,#000000,ref,ref
KeioHC_102__95741,#000000,ref,ref
KeioHC_108__6527,#000000,ref,ref
S_7G17__795,#000000,ref,ref
IF_167__19225,#000000,ref,ref
KWS_10912__114382,#000000,ref,ref
KWS_10661__1823,#000000,ref,ref
S_7G27__2521,#000000,ref,ref
KWS_10477__3600,#000000,ref,ref
S_6G2__167050,#000000,ref,ref
IF_101__889,#000000,ref,ref
IF_177__7263,#000000,ref,ref
KWS_10632__18940,#000000,ref,ref
S_6G3__68926,#000000,ref,ref
S_6G4__47763,#000000,ref,ref
