Category	Species	values	values2	Group
Culturome	Enterococcus faecalis	130	130	Culturome
Culturome	Escherichia coli	130	130	Culturome
Culturome	Limosilactobacillus fermentum	78	78	Culturome
Culturome	Enterobacter hormaechei_A	73	73	Culturome
Culturome	Klebsiella pneumoniae	65	65	Culturome
Culturome	Parabacteroides distasonis	60	60	Culturome
Culturome	Enterococcus_A avium	54	54	Culturome
Culturome	Proteus mirabilis	54	54	Culturome
Culturome	Lacticaseibacillus paracasei	49	49	Culturome
Culturome	Enterococcus_B hirae	46	46	Culturome
Culturome	Enterococcus_B lactis	40	40	Culturome
Culturome	Lactococcus lactis	40	40	Culturome
Culturome	Enterococcus_B faecium	34	34	Culturome
Culturome	Enterococcus_D gallinarum	31	31	Culturome
Culturome	Paraclostridium dentum	24	24	Culturome
Culturome	Eggerthella lenta	23	23	Culturome
Culturome	Pediococcus pentosaceus	22	22	Culturome
Culturome	Staphylococcus epidermidis	22	22	Culturome
Culturome	Lysinibacillus boronitolerans	19	19	Culturome
Culturome	Morganella morganii	19	19	Culturome
Culturome	Enterococcus_D innesii	18	18	Culturome
Culturome	Ligilactobacillus salivarius	18	18	Culturome
Culturome	Bordetella trematum	14	14	Culturome
Culturome	Limosilactobacillus mucosae	14	14	Culturome
Culturome	Sarcina perfringens	14	14	Culturome
Culturome	Bacillus_A paranthracis	13	13	Culturome
Culturome	Enterococcus_C asini	12	12	Culturome
Culturome	Klebsiella quasipneumoniae	11	11	Culturome
Culturome	Faecalicoccus pleomorphus	10	10	Culturome
Culturome	Paenibacillus_B sp900539405	10	10	Culturome
Culturome	Acidaminococcus intestini	9	9	Culturome
Culturome	Clostridium tertium	9	9	Culturome
Culturome	Lactiplantibacillus plantarum	9	9	Culturome
Culturome	Clostridium butyricum	8	8	Culturome
Culturome	Enterococcus_B thailandicus	8	8	Culturome
Culturome	Alistipes onderdonkii	7	7	Culturome
Culturome	Bacteroides uniformis	7	7	Culturome
Culturome	Citrobacter_B koseri	7	7	Culturome
Culturome	Lactobacillus paragasseri	7	7	Culturome
Culturome	Parabacteroides merdae	7	7	Culturome
Culturome	Parabacteroides sp014287585	7	7	Culturome
Culturome	Bacillus_A cereus	6	6	Culturome
Culturome	Bacteroides fragilis	6	6	Culturome
Culturome	Bacteroides fragilis_A	6	6	Culturome
Culturome	Clostridium paraputrificum	6	6	Culturome
Culturome	Comamonas kerstersii	6	6	Culturome
Culturome	Enterococcus_D casseliflavus	6	6	Culturome
Culturome	Fusobacterium_A varium	6	6	Culturome
Culturome	Lacticaseibacillus rhamnosus	6	6	Culturome
Culturome	Limosilactobacillus reuteri	6	6	Culturome
