ID,Color,HostFamily
IF_073-2wa__599,#FFBE7A,Bacteroidota
IF_071__88,#FFBE7A,Bacteroidota
IF_082__257,#FFBE7A,Bacteroidota
KeioHC_10__30,#FFBE7A,Bacteroidota
KWS_10563__259,#FFBE7A,Bacteroidota
S_7G3__239,#FFBE7A,Bacteroidota
IF_026__2804,#FFBE7A,Bacteroidota
S_7G19__337,#FFBE7A,Bacteroidota
IF_051__2512,#FFBE7A,Bacteroidota
IF_016__2512,#FFBE7A,Bacteroidota
IF_061-2__342,#FFBE7A,Bacteroidota
IF_060__342,#FFBE7A,Bacteroidota
S_7G40__498,#FFBE7A,Bacteroidota
S_6G3__2458,#FFBE7A,Bacteroidota
IF_118__812,#FFBE7A,Bacteroidota
KWS_10632__273,#FFBE7A,Bacteroidota
IF_170__187,#FFBE7A,Bacteroidota
S_7G20__81,#FFBE7A,Bacteroidota
IF_155__990,#FFBE7A,Bacteroidota
S_7G25__19,#FFBE7A,Bacteroidota
IF_033__3239,#FFBE7A,Bacteroidota
IF_027__375,#FFBE7A,Bacteroidota
IF_072__25,#FFBE7A,Bacteroidota
S_7G29__3384,#FFBE7A,Bacteroidota
KWS_10656__10,#FFBE7A,Bacteroidota
IF_041__451,#FFBE7A,Bacteroidota
KWS_10633__1343,#FFBE7A,Bacteroidota
S_7G19__561,#FFBE7A,Bacteroidota
IF_148__25,#FFBE7A,Bacteroidota
S_7G21__315,#FFBE7A,Bacteroidota
S_7G39__57,#FFBE7A,Bacteroidota
KWS_10631__6690,#FFBE7A,Bacteroidota
IF_046-2__241,#FFBE7A,Bacteroidota
IF_087__354,#FFBE7A,Bacteroidota
KWS_10631__120,#FFBE7A,Bacteroidota
IF_163__258,#FFBE7A,Bacteroidota
S_6G16__233,#FFBE7A,Bacteroidota
IF_026__473,#FFBE7A,Bacteroidota
IF_009__19,#FFBE7A,Bacteroidota
S_7G32__132,#FFBE7A,Bacteroidota
KeioHC_110__1370,#FFBE7A,Bacteroidota
IF_104__427,#FFBE7A,Bacteroidota
S_7G48__2684,#FFBE7A,Bacteroidota
IF_091__1597,#FFBE7A,Bacteroidota
IF_030-2__485,#FFBE7A,Bacteroidota
KWS_10641__5472,#FFBE7A,Bacteroidota
KWS_10992re__475,#FFBE7A,Bacteroidota
IF_101__613,#FFBE7A,Bacteroidota
S_6G4__241,#FFBE7A,Bacteroidota
KWS_10997__122,#FFBE7A,Bacteroidota
KWS_10910__82437,#FFBE7A,Bacteroidota
S_7G8__12871,#FFBE7A,Bacteroidota
S_7G27__77042,#FFBE7A,Bacteroidota
KWS_10656__58612,#FFBE7A,Bacteroidota
S_6G16__142574,#FFBE7A,Bacteroidota
KWS_10464__29842,#FFBE7A,Bacteroidota
IF_022__29,#FFBE7A,Bacteroidota
IF_111__14069,#FFBE7A,Bacteroidota
S_7G21__9615,#FFBE7A,Bacteroidota
KWS_10552__4803,#FFBE7A,Bacteroidota
KWS_11007__11220,#FFBE7A,Bacteroidota
IF_148__1764,#FFBE7A,Bacteroidota
IF_025__112429,#FFBE7A,Bacteroidota
KWS_10563__1093,#FFBE7A,Bacteroidota
IF_068__169931,#FFBE7A,Bacteroidota
IF_050__118995,#FFBE7A,Bacteroidota
KWS_10653__65356,#FFBE7A,Bacteroidota
KeioHC_10__200041,#FFBE7A,Bacteroidota
IF_149__237546,#FFBE7A,Bacteroidota
KWS_10459__290560,#FFBE7A,Bacteroidota
S_7G24__74862,#FFBE7A,Bacteroidota
KWS_10549__24412,#FFBE7A,Bacteroidota
IF_030-2__14414,#FFBE7A,Bacteroidota
KWS_10567__29408,#FFBE7A,Bacteroidota
IF_002__k141_9663,#FFBE7A,Bacteroidota
IF_016__k141_113882,#FFBE7A,Bacteroidota
IF_019__k141_130686,#FFBE7A,Bacteroidota
IF_028__k141_10081,#FFBE7A,Bacteroidota
IF_047__k141_78571,#FFBE7A,Bacteroidota
IF_047__k141_58758,#FFBE7A,Bacteroidota
IF_050__k141_64990,#FFBE7A,Bacteroidota
IF_068-2__k141_51089,#FFBE7A,Bacteroidota
IF_073wa__k141_8119,#FFBE7A,Bacteroidota
IF_086-2__k141_67907,#FFBE7A,Bacteroidota
IF_086__k141_39490,#FFBE7A,Bacteroidota
IF_087-2__k141_40255,#FFBE7A,Bacteroidota
IF_087-3__k141_43200,#FFBE7A,Bacteroidota
IF_088-2__k141_48900,#FFBE7A,Bacteroidota
IF_092-2__k141_2533,#FFBE7A,Bacteroidota
IF_092__k141_8855,#FFBE7A,Bacteroidota
IF_099__k141_121522,#FFBE7A,Bacteroidota
IF_103__k141_6403,#FFBE7A,Bacteroidota
IF_122__k141_32586,#FFBE7A,Bacteroidota
IF_123__k141_51949,#FFBE7A,Bacteroidota
IF_128__k141_151301,#FFBE7A,Bacteroidota
IF_137__k141_68723,#FFBE7A,Bacteroidota
IF_151__k141_39904,#FFBE7A,Bacteroidota
IF_167__k141_9455,#FFBE7A,Bacteroidota
IF_169__k141_16486,#FFBE7A,Bacteroidota
IF_173__k141_117367,#FFBE7A,Bacteroidota
IF_188__k141_37232,#FFBE7A,Bacteroidota
KWS_10452__k141_96807,#FFBE7A,Bacteroidota
KWS_10468__k141_27684,#FFBE7A,Bacteroidota
KWS_10469__k141_104953,#FFBE7A,Bacteroidota
KWS_10632__k141_2343,#FFBE7A,Bacteroidota
KWS_10897__k141_81324,#FFBE7A,Bacteroidota
KWS_10993__k141_56466,#FFBE7A,Bacteroidota
KWS_11009__k141_121230,#FFBE7A,Bacteroidota
KeioHC_106__k141_17579,#FFBE7A,Bacteroidota
KeioHC_116__k141_48945,#FFBE7A,Bacteroidota
KeioHC_117__k141_31611,#FFBE7A,Bacteroidota
KeioHC_4__k141_8735,#FFBE7A,Bacteroidota
S_6G10__k141_9332,#FFBE7A,Bacteroidota
S_7G12__k141_5956,#FFBE7A,Bacteroidota
S_7G26__k141_18672,#FFBE7A,Bacteroidota
S_7G26__k141_136394,#FFBE7A,Bacteroidota
S_7G27__k141_107283,#FFBE7A,Bacteroidota
S_7G2__k141_7097,#FFBE7A,Bacteroidota
S_7G43__k141_81348,#FFBE7A,Bacteroidota
S_7G44__k141_41256,#FFBE7A,Bacteroidota
S_7G48__k141_3388,#FFBE7A,Bacteroidota
S_7G5__k141_94926,#FFBE7A,Bacteroidota
S_7G30__241206,#FFBE7A,Bacteroidota
