Category	Species	values	values2	Group
MAG	Agathobacter rectalis	106	106	MAG
MAG	Alistipes putredinis	99	99	MAG
MAG	Escherichia coli	81	81	MAG
MAG	Gemmiger qucibialis	77	77	MAG
MAG	CAG-217 sp000436335	76	76	MAG
MAG	PeH17 sp000435055	72	72	MAG
MAG	Ruminococcus_E bromii_B	72	72	MAG
MAG	Fimenecus sp000432435	70	70	MAG
MAG	Faecalibacillus intestinalis	67	67	MAG
MAG	Ruthenibacterium lactatiformans	67	67	MAG
MAG	Eubacterium_R sp000436835	64	64	MAG
MAG	Desulfovibrio sp900556755	61	61	MAG
MAG	Hominilimicola fabiformis	60	60	MAG
MAG	Mediterraneibacter torques	59	59	MAG
MAG	Akkermansia muciniphila	56	56	MAG
MAG	Fusicatenibacter saccharivorans	54	54	MAG
MAG	Agathobaculum butyriciproducens	52	52	MAG
MAG	Parabacteroides distasonis	52	52	MAG
MAG	Bacteroides uniformis	50	50	MAG
MAG	Evtepia gabavorous	50	50	MAG
MAG	Alistipes onderdonkii	49	49	MAG
MAG	Phascolarctobacterium faecium	49	49	MAG
MAG	Phocaeicola vulgatus	46	46	MAG
MAG	CAG-177 sp003514385	44	44	MAG
MAG	Hominicoprocola fusiformis	44	44	MAG
MAG	Lachnospira eligens_A	44	44	MAG
MAG	Methanobrevibacter_A smithii	44	44	MAG
MAG	Klebsiella pneumoniae	43	43	MAG
MAG	Ruminococcus_E sp003438075	42	42	MAG
MAG	Hominenteromicrobium mulieris	41	41	MAG
MAG	Hominimerdicola aceti	41	41	MAG
MAG	Anaerostipes hadrus	40	40	MAG
MAG	Gemmiger sp900540595	40	40	MAG
MAG	SFEL01 sp004557245	39	39	MAG
MAG	UBA11524 sp000437595	38	38	MAG
MAG	CAG-170 sp000432135	37	37	MAG
MAG	Megamonas funiformis	37	37	MAG
MAG	Bifidobacterium longum	36	36	MAG
MAG	CAG-103 sp000432375	36	36	MAG
MAG	Agathobacter faecis	35	35	MAG
MAG	Eggerthella lenta	35	35	MAG
MAG	Faecousia sp003525905	35	35	MAG
MAG	Phascolarctobacterium_A succinatutens	35	35	MAG
MAG	Alistipes shahii	33	33	MAG
MAG	Vescimonas coprocola	33	33	MAG
MAG	Angelakisella sp900547385	32	32	MAG
MAG	Ventricola sp900542395	32	32	MAG
MAG	Wujia chipingensis	32	32	MAG
MAG	CAG-177 sp003538135	31	31	MAG
MAG	Phil1 sp001940855	31	31	MAG
