ID,prevalence,Group
KeioHC_116__k141_37261,0.17,C
IF_128__180950,0.38,C
IF_116__7488,0.25,C
S_6G16__142574,0.15,C
IF_151__k141_20070,0.48,C
KeioHC_108__6527,0.03,C
IF_101__195555,0.01,C
KWS_10661__291155,0.19,C
IF_022__47804,0.57,C
IF_086-2__208,0.16,C
KeioHC_10__85049,0.01,C
KeioHC_2__k141_56974,0.01,C
IF_093__k141_58947,0.2,C
IF_117__k141_17366,0.65,C
IF_025__192666,0.03,C
S_7G20__70316,0.04,C
KWS_10651__133973,0.17,C
KWS_10993__k141_73804,0.21,C
IF_076__6273,0,C
IF_104__41181,0,C
IF_064__228209,0.78,C
IF_022__k141_19245,0.04,C
KWS_11007__49707,0.05,C
S_7G50__40159,0.27,C
IF_175re__35631,0.04,C
KWS_10993__61282,0.75,C
KWS_10632__18940,0.36,C
IF_091__k141_92153,0.04,C
IF_016__15221,0.15,C
IF_086__k141_22175,0.07,C
KWS_10643__3405,0.05,C
IF_081__26676,0.04,C
KWS_10563__18116,0.17,C
IF_027__64554,0.02,C
KWS_10648__52645,0,C
IF_050__55627,0.21,C
KWS_10656__154704,0.05,C
IF_188__k141_75620,0.01,C
IF_167__902,0.92,C
IF_042-2__23896,0.33,C
IF_151__k141_60414,0,C
KeioHC_124__45258,0.02,C
IF_079__9214,0.15,C
KeioHC_I2__55056,0.48,C
IF_013__27616,0.06,C
KWS_10641__58423,0.56,C
KWS_10661__k141_99648,0.07,C
IF_093__77784,0.06,C
IF_079__48882,0.13,C
IF_183__k141_60104,0.03,C
IF_165__259901,0.22,C
IF_099__80344,0.02,C
IF_111__4985,0.2,C
IF_076__103876,0.16,C
KWS_10912__20489,0.12,C
KWS_10452__73328,0.03,C
S_6G7__43019,0.01,C
IF_082__12394,0.03,C
IF_099__743,0.53,C
S_6G2__5785,0.84,C
KeioHC_126__k141_7566,0.02,C
KeioHC_5__22198,0.02,C
KeioHC_9__68782,0.01,C
IF_071-2__k141_30602,0.01,C
KWS_10548__9636,0.11,C
KWS_10480__12445,0.01,C
KeioHC_124__k141_1120,0.53,C
KWS_10481__5958,0.35,C
IF_003-2__k141_48768,0.77,C
S_7G46__2015,0.06,C
IF_047-2__11524,0.73,C
IF_065__1169,0.17,C
KWS_10903__91467,0.01,C
IF_093__k141_48708,0.46,C
KWS_10461__4055,0.07,C
IF_049__18909,0.03,C
KWS_10473__1696,0.09,C
KWS_10993__278951,0.02,C
S_7G28__6905,0.05,C
KWS_10461__40659,0.24,C
KWS_10656__17554,0.21,C
IF_065-2__5387,0.11,C
S_7G20__k141_60857,0.13,C
KeioHC_9__k141_145866,0.4,C
S_6G5__125739,0.54,C
KWS_10638__114186,0.04,C
S_7G49__1206,0.08,C
KWS_10540__4677,0.8,C
IF_005__284063,0.03,C
KWS_10641__50324,0.01,C
IF_166__5696,0.12,C
IF_042-2__18586,0.22,C
IF_065-2__53229,0.11,C
KWS_10468__67163,0.02,C
IF_002-2re__k141_108007,0.03,C
KWS_10906__182785,0.01,C
IF_187__115714,0.04,C
KeioHC_7__226103,0.05,C
S_7G15__8504,0.4,C
KeioHC_7__45283,0.26,C
S_6G5__86083,0.03,C
KWS_10638__k141_90328,0.38,C
IF_087-3__131785,0.42,C
KeioHC_11__286224,0.02,C
IF_173__49398,0.05,C
IF_101-2__1638,0.07,C
IF_046-2__k141_69258,0.1,C
KeioHC_I2__99792,0.1,C
IF_072__18940,0.04,C
IF_179__95529,0.15,C
S_6G3__2233,0.06,C
KWS_10900__29312,0.01,C
S_7G30__7051,0.05,C
KeioHC_113__160178,0.09,C
KWS_10563__1093,0.1,C
IF_088-2__13139,0.14,C
KeioHC_12__87664,0.2,C
IF_177__7263,0.01,C
IF_167__24697,0.05,C
KWS_10894__187967,0.02,C
IF_025__40525,0.02,C
S_7G8__166123,0.37,C
S_6G10__3552,0.02,C
S_7G26__k141_253,0.08,C
S_7G26__9214,0.01,C
S_7G34__5958,0.06,C
KWS_10995__19633,0.18,C
S_7G51__k141_16085,0.02,C
IF_185__85006,0.01,C
IF_068__39456,0.01,C
S_7G7__k141_10676,0,C
KWS_10920__k141_41309,0.68,C
KeioHC_116__224036,0.32,C
KWS_10920__31907,0.01,C
IF_177__220561,0.6,C
S_7G20__115247,0.11,C
IF_093__k141_11382,0.14,C
IF_047-2__123521,0.9,C
S_7G45__105405,0.36,C
S_7G7__166732,0.03,C
S_7G40__18119,0.04,C
KWS_10452__29556,0.31,C
IF_101__k141_3233,0.05,C
S_7G31__k141_22311,0.06,C
KWS_10656__87228,0.16,C
KWS_11000__59065,0.04,C
S_7G43__6215,0.09,C
IF_130__12085,0.4,C
KWS_10546__168756,0.3,C
S_7G4__70527,0.24,C
KeioHC_9__76446,0.63,C
IF_064__k141_4764,0.11,C
KeioHC_17__79892,0.1,C
KWS_10550__27841,0.02,C
S_7G40__40325,0.61,C
IF_151__183137,0.04,C
IF_065-2__k141_8345,0.01,C
S_6G2__k141_66950,0.1,C
IF_036__6708,0.07,C
S_7G45__67864,0.16,C
IF_047__1074,0,C
S_7G20__45604,0.1,C
IF_076__k141_118023,0,C
KWS_10638__16689,0,C
IF_171__20297,0.38,C
KeioHC_121__25550,0.12,C
IF_150__k141_52806,0.06,C
IF_171__k141_89601,0.08,C
KWS_10646__252923,0.05,C
IF_050__45848,0.08,C
S_7G15__68607,0.03,C
IF_028__39617,0.07,C
IF_005__24883,0.18,C
IF_079__20062,0.1,C
IF_128__28035,0.5,C
