ID,Color,Family
IF_072__2233,#d62728,crAss-phage
KWS_10562__2279,#d62728,crAss-phage
S_7G15__8504,#d62728,crAss-phage
S_7G43__2233,#d62728,crAss-phage
KWS_10539__55861,#d62728,crAss-phage
IF_100__4878,#d62728,crAss-phage
S_7G25__180202,#d62728,crAss-phage
IF_008__4919,#d62728,crAss-phage
IF_130__12085,#d62728,crAss-phage
KWS_10911__40255,#d62728,crAss-phage
S_6G7__288414,#d62728,crAss-phage
IF_025__8760,#d62728,crAss-phage
S_7G21__41852,#d62728,crAss-phage
KWS_10985__130067,#d62728,crAss-phage
S_7G47__19700,#d62728,crAss-phage
KWS_10905__633,#d62728,crAss-phage
IF_108__999,#d62728,crAss-phage
KeioHC_4__22885,#d62728,crAss-phage
IF_019__32582,#d62728,crAss-phage
KWS_11008__219840,#d62728,crAss-phage
IF_045__149344,#d62728,crAss-phage
S_7G38__999,#d62728,crAss-phage
KWS_10909__82721,#d62728,crAss-phage
S_7G26__2233,#d62728,crAss-phage
S_7G50__132477,#d62728,crAss-phage
IF_097__77970,#d62728,crAss-phage
S_6G15__2148,#d62728,crAss-phage
KWS_10652__67850,#d62728,crAss-phage
IF_167__19225,#d62728,crAss-phage
S_7G34__30854,#d62728,crAss-phage
IF_047__17299,#d62728,crAss-phage
S_7G6__40255,#d62728,crAss-phage
S_7G21__90666,#d62728,crAss-phage
IF_134__1119,#d62728,crAss-phage
IF_089__42443,#d62728,crAss-phage
IF_090__2233,#d62728,crAss-phage
S_7G6__2530,#d62728,crAss-phage
IF_036__21543,#d62728,crAss-phage
S_6G10__11780,#d62728,crAss-phage
IF_173__26924,#d62728,crAss-phage
S_7G39__52990,#d62728,crAss-phage
KeioHC_110__83879,#d62728,crAss-phage
IF_103__18087,#d62728,crAss-phage
S_7G5__5898,#d62728,crAss-phage
S_6G14__4878,#d62728,crAss-phage
S_7G18__17299,#d62728,crAss-phage
S_7G21__2120,#d62728,crAss-phage
KWS_10984__2233,#d62728,crAss-phage
IF_023__95,#d62728,crAss-phage
KWS_10637__2233,#d62728,crAss-phage
IF_099__41852,#d62728,crAss-phage
S_7G12__8760,#d62728,crAss-phage
S_6G14__1999,#d62728,crAss-phage
S_6G7__27527,#d62728,crAss-phage
S_7G6__2233,#d62728,crAss-phage
S_7G44__5898,#d62728,crAss-phage
KWS_10661__26743,#d62728,crAss-phage
IF_001__19225,#d62728,crAss-phage
S_7G10__33246,#d62728,crAss-phage
KWS_10911__19225,#d62728,crAss-phage
KWS_10996__26150,#d62728,crAss-phage
KeioHC_117__9870,#d62728,crAss-phage
S_6G14__19700,#d62728,crAss-phage
KWS_10549__17118,#d62728,crAss-phage
S_6G8__34691,#d62728,crAss-phage
IF_101-2__9870,#d62728,crAss-phage
KeioHC_10__21993,#d62728,crAss-phage
KWS_10998__65278,#d62728,crAss-phage
KWS_10632__56223,#d62728,crAss-phage
IF_101__77591,#d62728,crAss-phage
S_6G6__9253,#d62728,crAss-phage
KWS_10649__9870,#d62728,crAss-phage
IF_089__19700,#d62728,crAss-phage
IF_089__259352,#d62728,crAss-phage
KWS_10910__82437,#d62728,crAss-phage
KeioHC_5__50702,#d62728,crAss-phage
S_6G5__7520,#d62728,crAss-phage
S_7G29__k141_100208,#d62728,crAss-phage
S_7G2__k141_7097,#d62728,crAss-phage
S_7G3__k141_94479,#d62728,crAss-phage
KWS_10998__27877,#8c564b,Inoviridae
KWS_11002__103783,#8c564b,Inoviridae
IF_091__108828,#8c564b,Inoviridae
IF_148__85717,#8c564b,Inoviridae
IF_065-2__88192,#8c564b,Inoviridae
S_7G32__27877,#8c564b,Inoviridae
S_7G34__181834,#9467bd,Microviridae
IF_130__283130,#9467bd,Microviridae
KWS_10476__148502,#9467bd,Microviridae
IF_093__105652,#9467bd,Microviridae
S_7G14__105652,#9467bd,Microviridae
IF_101__76071,#9467bd,Microviridae
IF_087-3__261525,#9467bd,Microviridae
KWS_10912__114382,#9467bd,Microviridae
IF_125__249015,#9467bd,Microviridae
IF_107__141652,#9467bd,Microviridae
IF_008__161414,#9467bd,Microviridae
IF_110__170113,#9467bd,Microviridae
KWS_10984__229824,#9467bd,Microviridae
S_6G14__114382,#9467bd,Microviridae
IF_122__11878,#9467bd,Microviridae
KWS_10486__160172,#9467bd,Microviridae
IF_148__36882,#9467bd,Microviridae
IF_087-2__201546,#9467bd,Microviridae
IF_123__k141_114910,#9467bd,Microviridae
IF_110__23318,#2ca02c,Myoviridae
KeioHC_113__144562,#2ca02c,Myoviridae
KeioHC_13__14723,#2ca02c,Myoviridae
IF_081__3209,#2ca02c,Myoviridae
KWS_10638__19423,#2ca02c,Myoviridae
IF_026__7851,#2ca02c,Myoviridae
KWS_10911__150681,#2ca02c,Myoviridae
IF_079__20062,#2ca02c,Myoviridae
IF_127__3596,#2ca02c,Myoviridae
IF_132__1618,#2ca02c,Myoviridae
IF_165__39358,#2ca02c,Myoviridae
IF_072__5159,#2ca02c,Myoviridae
IF_076__68097,#2ca02c,Myoviridae
IF_072__78590,#2ca02c,Myoviridae
KWS_10999__1475,#2ca02c,Myoviridae
IF_049__18909,#2ca02c,Myoviridae
KWS_10661__31748,#2ca02c,Myoviridae
S_6G16__102631,#2ca02c,Myoviridae
KWS_10476__10438,#2ca02c,Myoviridae
IF_121wa__35302,#2ca02c,Myoviridae
KWS_10465__9070,#2ca02c,Myoviridae
S_7G8__166123,#2ca02c,Myoviridae
IF_151__131955,#2ca02c,Myoviridae
KWS_10567__5337,#2ca02c,Myoviridae
IF_101__10918,#2ca02c,Myoviridae
S_7G51__21071,#2ca02c,Myoviridae
KWS_10648__17853,#2ca02c,Myoviridae
IF_022__51451,#2ca02c,Myoviridae
KWS_10661__2627,#2ca02c,Myoviridae
IF_047__1074,#2ca02c,Myoviridae
S_6G2__5785,#2ca02c,Myoviridae
IF_065-2__53229,#2ca02c,Myoviridae
IF_008__24384,#2ca02c,Myoviridae
IF_085__176987,#2ca02c,Myoviridae
KWS_10632__18940,#2ca02c,Myoviridae
S_6G6__8580,#2ca02c,Myoviridae
IF_095__3055,#2ca02c,Myoviridae
KWS_10911__52533,#2ca02c,Myoviridae
S_7G27__10902,#2ca02c,Myoviridae
IF_121wa__79017,#2ca02c,Myoviridae
KWS_10656__2024,#2ca02c,Myoviridae
S_6G16__13257,#2ca02c,Myoviridae
S_6G16__229508,#2ca02c,Myoviridae
IF_099__5433,#2ca02c,Myoviridae
KeioHC_11__286224,#2ca02c,Myoviridae
IF_002-2re__5963,#2ca02c,Myoviridae
KeioHC_113__9753,#2ca02c,Myoviridae
KWS_10644__202928,#2ca02c,Myoviridae
S_7G29__17737,#2ca02c,Myoviridae
