Metagenome	Streptococcus_mitis	Propionibacterium_acnes	Haemophilus_parainfluenzae	Lactobacillus_crispatus	Bacteroides_unclassified	Corynebacterium_matruchotii	Corynebacterium_accolens	Rothia_dentocariosa	Prevotella_melaninogenica	Staphylococcus_epidermidis	Bacteroides_vulgatus	Alistipes_putredinis	Neisseria_flavescens	Streptococcus_parasanguinis	Rothia_mucilaginosa	Lactobacillus_iners	Lactobacillus_jensenii	Streptococcus_sanguinis	Veillonella_unclassified	Prevotella_copri	Streptococcus_salivarius	Veillonella_parvula	Neisseria_mucosa	Bacteroides_ovatus	Veillonella_atypica	Streptococcus_infantis	Eubacterium_rectale	Gemella_haemolysans	Campylobacter_concisus	Bacteroides_stercoris	Capnocytophaga_gingivalis	Parabacteroides_merdae	Capnocytophaga_sputigena	Actinomyces_viscosus	Lactobacillus_gasseri	Neisseria_sicca	Haemophilus_influenzae	Veillonella_dispar	Bacteroides_caccae	Streptococcus_australis	Staphylococcus_aureus	Bacteroides_xylanisolvens	Faecalibacterium_prausnitzii	Lautropia_mirabilis	Actinomyces_oris	Dialister_invisus	Propionibacterium_unclassified	Neisseria_elongata	Alistipes_shahii	Ruminococcus_bromii
SRS012663	0.58587	22.50382	0	0	0	0	39.57954	0	0	8.46038	0	0	0	0	0	0	0	0.0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02746	0	0	0	0	0	0	0	0	0	0	2.09692	0	0	0
SRS012902	0.00174	0	0.29606	0	33.09239	0	0	0	0	0	37.49837	0	0	0.00096	0	0	0	0	0.00091	0	0	0.01935	0	12.66855	0.04816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6546	0	0	0	0	0	0	0	0
SRS013155	0	45.84794	0.15251	0	0	0	21.54658	0	0	11.18569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.33704	0	0	0	0	0	0.35196	0	0	0
SRS013158	0.08573	0	0.00814	0	25.05915	0	0	0	0	0	39.15833	0.10615	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01345	1.53162	0	0	3.06115	0	0	0	0	0	0	0	0	0	0.00351	0	20.45429	0.10931	0	0	0.5426	0.00019	0	0.00223	1.1756
SRS013164	3.42044	0	56.9356	0	0.15309	0.00873	0	0.03516	3.36038	0	0	0	2.25895	0.43619	0.965	0	0	0.06944	7.04136	0	4.09916	1.17191	0.01103	0	0.15182	6.10977	0	0.20743	0.61562	0	0.09931	0	0.03899	0.01612	0	0.00957	0.1596	0.35567	0	3.75631	0	0	0	0.00972	0.00532	0.01144	0	0.00637	0	0
SRS013170	2.40718	0.00117	6.8347	0	0.07128	23.30207	0	2.36258	0.18151	0	0.0006	0	1.3145	0.00148	0.05862	0	0	4.80594	1.04381	0	0.00505	1.66729	0.23969	0	0	0.27558	0	0.07712	0.07748	0	1.7077	0	6.8777	5.81357	0	0.3756	0.02912	0.00159	0	0.02325	0	0	0	1.66752	2.32569	0.0739	0.00292	3.59435	0	0
SRS013215	0	0	0.01255	0	41.17986	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00221	0	0	0	0	50.12703	0.00179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40894	0.0214	0	0	1.11374	0	0	0.05274	0
SRS013234	0.55137	0.00438	4.50378	0	0.01141	0.05105	0	0.14124	2.0006	0.0011	0	0	0.01197	43.6266	12.6437	0	0	0.2041	4.24459	0	11.74239	0.82958	0.02535	0.00028	2.70091	2.25863	0	0.07445	1.4842	0	0.06861	0	0.04595	0.03436	0	0.0493	0.00505	4.08681	0	0.0699	0	0	0	0.02425	0.07097	0.0064	0.00124	0.01607	0	0
SRS013239	64.39467	0.01169	16.90928	0	0.0109	0.02502	0	0.32449	0.14722	0	0	0	0	0.56318	1.90318	0	0	0.19375	0.64084	0	0.37986	2.9415	0	0	0.3284	0.04047	0	1.19881	1.68543	0	0	0	0.01967	0.09882	0	0.01309	4.85706	0.08025	0	0.00077	0	0	0	0.00472	0.199	0.00471	0.00292	0	0	0
SRS013252	0.53308	0.003	0.07319	0	0.03498	39.18859	0	6.58997	0.03592	0	0	0	0	0.01928	0.00782	0	0	1.11331	0	0	0.00213	1.01469	0.0546	0.00029	0.00691	0.02237	0	0.00314	0.38529	0	5.33689	0	3.6606	1.87713	0	0.08056	0.00332	0.00378	0	0	0	0	0	0.20741	1.90457	0.00342	0	0.87982	0	0
SRS013258	0.01006	95.59363	0	0	0.00244	0	0	0	0	0.27252	0	0	0	0	0	0.01418	0	0	0	0	0	0	0	0.00346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00133	0	0	0	0	0	3.22758	0	0	0
SRS013269	0	45.25562	0	0	0	0	11.05037	0	0	4.65048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.17517	0	0	0	0	0	2.72003	0	0	0
SRS013476	0	0	0.0622	0	12.98983	0	0	0	0	0	0	5.17034	0	0	0	0	0	0	0.01481	0	0	0.00275	0	2.257	0	0	1.76272	0	0	0	0	2.99754	0	0	0	0	0	0.00107	2.27326	0	0	0.31363	2.61619	0	0	2.80608	0	0	1.49421	3.90187
SRS013502	1.89855	0.00178	16.71124	0	0.03382	0.01946	0	0.11829	6.6065	0	0	0.01438	3.48302	10.11329	10.11152	0	0	0.41318	5.26785	0	11.40384	0.47215	0.39123	0.00306	1.12886	5.82965	0.00044	0.18961	6.37858	0	0.07324	0.002	0.00615	0.00981	0	0.58041	0.25269	2.50273	0.00078	0.45375	0	0	0.00274	0.18043	0.01828	0.00384	0.0021	0.00101	0.00256	0.00149
SRS013506	72.9133	0	5.21354	0	0.31306	0.00504	0	0.13337	0.09332	0	0	0	0.05207	0.20571	0.76698	0	0	0.46881	0	0	0.15887	0.13532	0.89469	0	0.1251	0.27479	0	3.52901	0.07853	0	0.00037	0	0.00227	0.03862	0	0.08656	7.29154	0.02592	0	0.51479	0	0	0	0.00998	0.03098	0	0	0.00246	0	0
SRS013521	0.0555	0	0.18788	0	0	0	0	0	0	0	33.21523	4.32033	0	0.0083	0	0	0	0	0.01005	45.84159	0	0.00095	0	1.63211	0.00119	0.00426	0.34131	0	0	0.97177	0	7.42474	0	0	0	0	0	0.00469	0.83298	0	0	0.62083	0.2904	0	0	0	0.00024	0	0.98421	0
SRS013533	1.19707	0	1.00899	0	0.08362	33.40041	0	3.11619	0.57337	0	0	0	0.30763	0.03082	0.00881	0	0	6.44742	0.35259	0.0001	0.00921	2.57217	0.90724	0	0.00037	0.04549	0	0.07872	0.36095	0	2.12396	0	1.6916	3.28268	0	0.27432	0.01582	0.00879	0	0.02082	0	0	0	4.72836	3.81868	0.59658	0	1.857	0	0
SRS013542	0	0	0	0	0.00304	0	0	0	0	0	0.00549	0	0	0	0	1.4053	0	0	0	0.01782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS013637	0	64.45634	0	0	0	0	13.68494	0	0	7.60278	0	0	0	0	0	0	0	0.14738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.29499	0	0	0
SRS013687	0.00039	0	0.00205	0	4.05161	0	0	0	0	0	1.20917	0	0	3.00E-05	0	0	0	0	0	43.80493	0.0095	0	0	1.60693	0	0	0.3762	0	0	2.02512	0	8.94668	0	0	0	0	0	0	8.02655	0	0	0.75314	1.47151	0	0	13.23337	0	0	0	4.10913
