Metagenome	Streptococcus_mitis	Propionibacterium_acnes	Haemophilus_parainfluenzae	Lactobacillus_crispatus	Bacteroides_unclassified	Corynebacterium_matruchotii	Corynebacterium_accolens	Rothia_dentocariosa	Prevotella_melaninogenica	Staphylococcus_epidermidis	Bacteroides_vulgatus	Alistipes_putredinis	Neisseria_flavescens	Streptococcus_parasanguinis	Rothia_mucilaginosa	Lactobacillus_iners	Lactobacillus_jensenii	Streptococcus_sanguinis	Veillonella_unclassified	Prevotella_copri	Streptococcus_salivarius	Veillonella_parvula	Neisseria_mucosa	Bacteroides_ovatus	Veillonella_atypica	Streptococcus_infantis	Eubacterium_rectale	Gemella_haemolysans	Campylobacter_concisus	Bacteroides_stercoris	Capnocytophaga_gingivalis	Parabacteroides_merdae	Capnocytophaga_sputigena	Actinomyces_viscosus	Lactobacillus_gasseri	Neisseria_sicca	Haemophilus_influenzae	Veillonella_dispar	Bacteroides_caccae	Streptococcus_australis	Staphylococcus_aureus	Bacteroides_xylanisolvens	Faecalibacterium_prausnitzii	Lautropia_mirabilis	Actinomyces_oris	Dialister_invisus	Propionibacterium_unclassified	Neisseria_elongata	Alistipes_shahii	Ruminococcus_bromii
SRS013956	0	83.49089	0	0	0	0	0.26985	0	0	0.17567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.99241	0	0	0	0	0	8.23377	0	0	0
SRS014107	2.05167	0.00163	4.18631	0	0.46878	9.17253	0	1.83264	0	0	0	0	0	0.00646	1.2498	0	0	1.22616	0	0	0	0.58582	1.07147	0.13686	0	0.0869	0	0.02751	0	0	0.45238	0.01642	3.45553	2.09587	0	1.39636	0.10821	0	0	0.27829	0	0	0	1.53001	2.60172	0.81633	0.01053	6.23383	0	0
SRS014124	0.73307	0	26.72256	0	0.00352	0.00674	0	0.04433	2.96342	0	0.00032	0	0.5301	21.70711	13.22366	0	0	0.01279	5.08615	0	7.79743	0.76928	0.01395	0	0.53999	6.63995	0	0.05895	1.08573	0	0.09201	0	0.04659	0.00318	0	0.00026	0.01784	0.30778	0	1.41393	0	0	0	0.00505	0.00183	0	0	0.00054	0	0
SRS014126	78.84647	0.00891	0.65194	0	0	0	0	0.77616	0.00687	0	0.00118	0	0.00164	0.09709	0.28808	0	0	0.10159	0.23935	0	0.00913	0.29784	0.01042	0	0	0.69744	0	7.22983	0.0006	0	0.00097	0	0	0.04635	0	0	2.35371	0.00281	0	0.13651	0	0	0	0.00179	0.02707	0	0.001	0	0	0
SRS014235	0	0	0	0	9.64122	0	0	0	0	0	7.63352	10.80059	0	0	0	0	0	0	0	0	0	0	0	0.01755	0	0	14.49927	0	0	2.22483	0	3.03707	0	0	0	0	0	0	5.40761	0.00134	0	2.21922	4.05704	0	0	0	0	0	1.29198	7.90862
SRS014271	2.00356	0	4.5379	0	0.32377	0.01978	0	0.01235	17.1364	0	0	0	10.62689	5.09038	3.82254	0	0	0.0364	5.42745	0	0.94526	1.35668	0.06501	0	5.63211	4.40981	0	0.1439	5.98935	0	0.45149	0	0.05158	0.0049	0	0.00906	0.08398	3.50047	0	1.14094	0	0	0	0.02142	0.002	0.02206	0.00017	0.0848	0	0
SRS014287	0	0.01077	0	0	17.50172	0	0	0	0	0	2.77551	11.57554	0	0.00615	0	0	0	0	0	0	0	0	0	1.71305	0	0	17.06975	0	0	0	0	3.0579	0	0	0	0	0	0	3.30561	0	0	0.12526	10.8126	0	0	0	0.00747	0	1.04687	5.52758
SRS014313	0.00381	0	0.00433	0	0	0	0	0	0	0	54.67639	0.00022	0	0	0	0	0	0	0.00381	0	0	0.00059	0	0	0	0	6.26691	0	0	0	0	0	0	0	0	0	0	0	22.17479	0	0	2.47796	1.20611	0	0	2.00685	0	0	5.0853	0.04141
SRS014459	0	0	0.00209	0.03511	3.03833	0	0	0	0	0	4.40748	12.08492	0	0.01324	0	0.06876	0.00846	0	0	0	0	0	0	3.36006	0	0	15.60325	0	0	10.31571	0	0.87649	0	0	0	0	0	0	0.98029	0	0	1.23262	8.28094	0	0	6.31311	0	0	0.46635	0.04094
SRS014464	0	54.58315	0	0	0	0	41.56562	0	0	3.85123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS014465	0	0	0	70.04437	0	0	0	0	0	0	0	0	0	0	0	13.83488	3.5836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS014466	0	0	0	79.87077	0	0.03511	0	0	0	0	0	0	0	0	0	16.30098	2.61663	0.00949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRS014470	0.49207	0	3.90058	0	0.11874	0.00697	0	0.0135	10.83558	0	0	0	0.9162	16.05897	1.66978	0	0	0.00951	2.0144	0	4.03354	1.42395	0.02356	0	11.19919	4.66209	0	0.07203	8.97955	0	0.06793	0	0.00983	0.00059	0	0.02524	0.00579	5.43807	0	0.42687	0	0	0	0.00276	0.00274	0.00858	0	0.00227	0	0
SRS014472	74.19895	0.03143	1.75462	0	0	0.50247	0	2.68395	0.09716	0	0	0	0.46615	0.11666	0.18529	0	0	0.17406	0.133	0	0.0729	0.27659	1.02478	0	0.02561	0.48439	0	6.70289	0.03405	0	0.1055	0	0.07091	0.64372	0	0.46833	4.79858	0.05027	0	0.09195	0	0	0	0.44181	0.32121	0.00123	0.00665	0.04504	0	0
SRS014473	67.78025	0.00482	10.29017	0	0.02938	0.52567	0	0.1111	0.00503	0	0	0	0.08596	0.02794	0.02973	0	0	0.08502	0.03167	0	0.00808	0.05093	0.00593	0	0.00365	0.05236	0	4.85915	0.27442	0	0.00951	0	0.00952	0.16501	0	0.00625	2.83706	0.00269	0	0.01269	0	0	0	0.0031	0.12413	0	0.00073	0.01596	0	0
SRS014474	6.08562	0	12.81231	0	0.32542	0	0	0.04462	6.84076	0	0	0	1.98477	11.99094	1.21424	0	0	0.00179	1.72762	0	2.78006	0.81356	0.23304	0	4.95314	6.06479	0	0.94666	4.58695	0	0.10426	0	0	0	0	0.05578	1.28914	2.74042	0	0.81286	0	0	0	0.00091	0	0	0	0	0	0
SRS014475	1.61303	0	2.19861	0	0	0.01939	0.18212	0.08436	1.07884	0	0	0	0.09495	2.70063	0.45934	0	0	0.05359	0.57234	0	0.47924	0.14022	0.01709	0	0.77059	1.03354	0	0.17368	0.3058	0	0	0	0	0.0181	0	0	24.73161	0.28062	0	0.19994	0	0	0	0	0	0	0.04372	0	0	0
