ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_4	-0.175	15.174	0.662855120141077	0.812371312654101	NotSig	2.27	2.586	4.371	1.121	1.391	2.013	3.337	1.386	3.039	3.826	1.516	1.588	3.019	2.526
ASV_84	0.44	11.667	0.67905741009348	0.82601759585998	NotSig	0.25	0.175	0.128	0.299	0.106	0.005	0.023	0.941	0.573	0	0.103	0.171	0.068	0.134
ASV_25	0.311	13.251	0.694219957655748	0.838206319243606	NotSig	0.686	0.587	0.354	0.375	2.96	0.156	0.083	0.189	0.381	0.077	0.809	0.671	0.563	1.018
ASV_9	-0.124	14.291	0.702629010772656	0.842121534970168	NotSig	1.266	1.381	1.049	2.24	0.919	1.177	0.699	1.509	1.589	0.858	1.217	1.183	2.042	1.398
ASV_125	0.236	11.008	0.710897555287132	0.843701015388107	NotSig	0.141	0.123	0.037	0.327	0.145	0.231	0.034	0.071	0.073	0.227	0.164	0.072	0.019	0.186
ASV_148	0.152	10.638	0.714299019162938	0.843701015388107	NotSig	0.105	0.097	0.171	0.173	0.096	0.056	0.047	0.09	0.076	0.061	0.175	0.099	0.049	0.126
ASV_2157	-0.242	11.411	0.76033528924354	0.885112447108393	NotSig	0.153	0.192	0.085	0.025	0.086	0.138	0.525	0.057	0.019	0.063	0.305	0.052	0.45	0.265
ASV_145	-0.145	10.909	0.768443337155853	0.885112447108393	NotSig	0.113	0.129	0.024	0.106	0.07	0.178	0.225	0.074	0.092	0.071	0.105	0.11	0.209	0.188
ASV_122	-0.097	10.989	0.769647614757771	0.885112447108393	NotSig	0.125	0.135	0.131	0.221	0.099	0.117	0.049	0.134	0.151	0.103	0.144	0.14	0.114	0.158
ASV_121	-0.105	10.655	0.771079555149643	0.885112447108393	NotSig	0.098	0.106	0.146	0.098	0.114	0.08	0.031	0.12	0.097	0.092	0.119	0.058	0.135	0.134
ASV_154	0.116	10.816	0.792668395116637	0.898767030050142	NotSig	0.118	0.11	0.094	0.238	0.047	0.133	0.096	0.101	0.165	0.119	0.083	0.173	0.038	0.085
