Phylum	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
p__Ascomycota	42	0	0	0	22	0	0	0	23	25
p__Ascomycota	23	0	0	23	32	23	0	26	27	23
p__Ascomycota	0	0	0	0	0	0	0	29	27	20
p__Ascomycota	28	26	972	2084	55	0	27	32	598	2730
p__Ascomycota	0	0	32	23	26	27	24	25	25	23
p__Ascomycota	28	28	22	29	29	0	0	20	36	28
p__Mucoromycota	29	26	28	27	23	0	28	0	24	25
p__Mucoromycota	22	27	22	28	27	0	24	23	82	32
p__Basidiomycota	222	0	26	24	28	25	22	35	25	23
p__Ascomycota	24	0	27	34	29	27	25	0	82	49
p__Basidiomycota	0	23	23	27	0	0	0	0	28	24
p__Ascomycota	96	0	27	37	33	0	26	27	59	57
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Blastocladiomycota	252	456	444	520	296	207	389	224	2397	842
p__Ascomycota	79	0	0	0	0	0	0	0	49	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	25	0	22	0	0	26	23	0	22	0
p__Basidiomycota	0	0	24	45	29	0	0	0	0	29
p__Ascomycota	2439	489	2238	2684	903	545	577	547	2552	2093
p__Ascomycota	223	48	0	89	56	44	95	72	202	284
p__Ascomycota	44	29	26	52	36	0	23	34	82	53
p__Ascomycota	24	24	0	25	23	0	0	0	45	0
p__Ascomycota	20	0	25	27	26	0	28	0	29	28
p__Microsporidia	0	0	0	0	0	0	0	0	0	0
p__Chytridiomycota	92	99	46	52	66	43	50	53	260	272
p__Microsporidia	0	23	26	25	28	0	0	0	32	27
p__Basidiomycota	42	0	27	27	0	25	22	0	25	24
p__Oomycota	74	29	44	80	44	38	23	48	209	252
p__Oomycota	44	43	27	30	38	27	28	20	86	84
p__Basidiomycota	87	27	58	57	52	0	0	0	52	69
p__Basidiomycota	55	0	38	39	28	52	0	0	33	222
p__Ascomycota	93	26	206	202	32	37	76	26	46	58
p__Mucoromycota	26	24	0	27	47	27	28	29	40	200
p__Basidiomycota	42	27	40	39	44	0	36	0	27	25
p__Basidiomycota	0	0	0	34	30	0	0	0	39	63
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	27	0	0	0	0	0	20	22
p__Ascomycota	26	20	28	27	20	26	26	20	55	45
p__Ascomycota	52	29	225	66	35	26	39	20	65	227
p__Ascomycota	0	0	0	0	64	0	0	0	224	227
p__Ascomycota	24	0	0	0	25	0	0	24	27	24
p__Ascomycota	24	27	0	0	26	0	0	24	29	39
p__Ascomycota	23	0	46	45	0	0	0	0	27	20
p__Ascomycota	23	0	0	23	23	24	22	0	43	25
p__Ascomycota	24	25	24	24	47	0	0	0	27	23
p__Ascomycota	23	0	0	0	0	0	0	0	22	20
p__Ascomycota	22	0	23	22	23	0	0	0	0	42
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	22	0	0	0	45	0
p__Ascomycota	28	0	30	26	24	23	26	0	34	42
p__Ascomycota	0	0	26	0	0	0	0	0	27	24
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	22	0	25	23	28	23	0	0	29	22
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	28	0	0	0	0	0	0	0	24	22
p__Ascomycota	22	29	0	25	43	0	22	23	23	66
p__Ascomycota	32	25	23	25	0	0	0	0	26	28
p__Ascomycota	0	0	0	0	0	0	0	0	0	25
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	42	0	28	44	34	0	0	24	32	42
p__Ascomycota	0	0	0	29	0	0	0	0	0	0
p__Ascomycota	0	26	0	0	0	0	0	0	24	26
p__Ascomycota	0	0	0	0	26	0	0	22	27	26
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	25	0	0	20	45	0	0	25	27	27
p__Ascomycota	26	0	27	0	28	26	0	29	36	43
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	28	0
p__Ascomycota	34	0	32	29	20	0	23	22	72	203
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	289	205	92	220	276	90	202	79	272	267
p__Ascomycota	638	207	288	24	247	72	322	58	223	272
p__Ascomycota	0	22	0	23	0	0	24	0	32	34
p__Ascomycota	23	0	24	0	0	22	0	0	28	0
p__Ascomycota	64	0	50	32	25	29	26	24	28	57
p__Ascomycota	28	0	77	22	27	0	26	0	52	0
p__Ascomycota	24	27	0	28	0	0	23	24	28	0
p__Ascomycota	0	0	0	22	0	0	0	0	20	24
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	68	0	0	0	27	0	0	0	22	20
p__Ascomycota	74	22	22	0	29	27	25	25	23	0
p__Ascomycota	26	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	26	25	0	22	29	0	0	28	28	22
p__Ascomycota	0	0	0	0	0	0	0	0	0	38
p__Ascomycota	227	27	58	59	602	68	22	400	308	348
p__Ascomycota	34	0	95	23	29	0	23	23	45	20
p__Ascomycota	2948	822	2360	2778	7005	2733	445	3224	4333	3457
p__Ascomycota	0	0	0	0	0	0	0	0	23	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	22	0	25	28	0	25	0	0	0	46
p__Ascomycota	0	0	0	0	0	0	0	0	24	28
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	23	0	0	0	0	0	0	0	23	0
p__Ascomycota	28	23	25	26	33	28	0	23	39	22
p__Ascomycota	26	0	255	36	30	0	0	0	36	65
p__Ascomycota	25	0	0	29	0	0	0	0	28	27
p__Ascomycota	0	28	76	76	28	0	0	0	27	32
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	46	22	30	0	23	0	0	34	223	244
p__Ascomycota	25	25	36	0	22	0	223	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	245	36	249	83	56	65	230	72	203	86
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	389	779	2902	988	0	552	3259	347	2523	2250
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	279	0	0	0
p__Ascomycota	703	89	252	239	222	288	235	58	432	399
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	42	26	22	28	25	20	22	0	39	59
p__Ascomycota	39	0	0	26	29	0	22	22	27	32
p__Ascomycota	24	0	0	22	23	0	0	0	27	0
p__Ascomycota	29	0	22	24	24	0	0	0	24	38
p__Ascomycota	223	87	259	228	45	94	84	34	354	294
p__Ascomycota	46	0	0	26	0	0	0	0	26	27
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	22	0	0	0	24	0	0	25	0	0
p__Ascomycota	20	0	32	54	22	0	0	24	34	55
p__Ascomycota	26	0	0	0	37	0	0	24	43	39
p__Ascomycota	29	0	72	83	0	0	0	0	34	30
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	23
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	25	24	0	29	28	29	26	0	40	27
p__Ascomycota	0	22	0	24	29	0	27	27	22	220
p__Ascomycota	22	0	0	27	26	26	0	0	27	44
p__Ascomycota	23	26	28	23	0	0	23	0	25	42
p__Ascomycota	72	38	56	72	75	27	38	29	62	82
p__Ascomycota	0	0	80	222	0	0	28	0	24	0
p__Ascomycota	40	0	327	0	265	0	0	45	280	222
p__Ascomycota	0	0	36	28	0	0	0	0	29	37
p__Basidiomycota	60	28	55	30	22	28	23	24	34	60
p__Ascomycota	0	0	0	0	0	0	0	0	25	27
p__Ascomycota	24	0	27	32	29	0	0	0	22	24
p__Ascomycota	0	0	0	0	0	0	24	0	26	0
p__Ascomycota	25	0	249	265	38	25	0	234	227	83
p__Chytridiomycota	26	0	0	0	23	0	0	0	28	23
p__Chytridiomycota	23	0	25	22	27	0	0	24	22	45
p__Ascomycota	27	0	0	0	26	0	0	28	20	24
p__Ascomycota	23679	2043	7962	684	2522	247	23548	579	2652	934
p__Ascomycota	29	0	0	23	0	0	0	22	20	0
p__Mucoromycota	24	0	46	45	23	0	0	24	30	56
p__Ascomycota	23	32	26	32	28	23	22	23	60	32
p__Ascomycota	0	0	24	23	22	0	0	0	33	22
p__Ascomycota	29	0	0	0	0	0	0	0	24	0
p__Ascomycota	0	0	33	44	29	28	0	0	23	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	35	0	0	40	25	0	0	0	69	57
p__Ascomycota	0	0	0	0	22	0	0	0	0	22
p__Ascomycota	22	0	0	25	23	0	0	0	29	38
p__Ascomycota	0	0	0	0	0	0	0	0	0	24
p__Ascomycota	0	0	0	0	0	0	25	23	28	20
p__Ascomycota	60	35	52	82	73	46	43	32	97	85
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Chytridiomycota	24	0	55	20	28	27	0	0	36	44
