bray_curtis	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.287	0.323	0.278	0.335	0.255	0.317	0.351	0.315	0.287	0.274	0.293	0.302	0.316	0.301	0.306	0.317	0.283
KO2	0.287	0	0.364	0.345	0.438	0.314	0.323	0.325	0.334	0.329	0.285	0.314	0.296	0.336	0.287	0.291	0.340	0.301
KO3	0.323	0.364	0	0.323	0.339	0.324	0.419	0.401	0.362	0.361	0.349	0.399	0.374	0.361	0.371	0.353	0.352	0.331
KO4	0.278	0.345	0.323	0	0.330	0.269	0.390	0.400	0.351	0.338	0.320	0.375	0.329	0.332	0.348	0.345	0.331	0.327
KO5	0.335	0.438	0.339	0.330	0	0.330	0.472	0.446	0.428	0.396	0.388	0.460	0.390	0.365	0.410	0.408	0.363	0.384
KO6	0.255	0.314	0.324	0.269	0.330	0	0.377	0.399	0.350	0.330	0.316	0.347	0.341	0.347	0.344	0.338	0.331	0.336
OE1	0.317	0.323	0.419	0.390	0.472	0.377	0	0.293	0.315	0.297	0.266	0.237	0.335	0.367	0.263	0.321	0.366	0.279
OE2	0.351	0.325	0.401	0.400	0.446	0.399	0.293	0	0.305	0.297	0.278	0.303	0.302	0.372	0.282	0.336	0.347	0.273
OE3	0.315	0.334	0.362	0.351	0.428	0.350	0.315	0.305	0	0.247	0.281	0.304	0.279	0.313	0.286	0.298	0.311	0.271
OE4	0.287	0.329	0.361	0.338	0.396	0.330	0.297	0.297	0.247	0	0.255	0.284	0.275	0.297	0.266	0.272	0.294	0.261
OE5	0.274	0.285	0.349	0.320	0.388	0.316	0.266	0.278	0.281	0.255	0	0.259	0.273	0.303	0.235	0.258	0.269	0.227
OE6	0.293	0.314	0.399	0.375	0.460	0.347	0.237	0.303	0.304	0.284	0.259	0	0.328	0.372	0.278	0.312	0.354	0.288
WT1	0.302	0.296	0.374	0.329	0.390	0.341	0.335	0.302	0.279	0.275	0.273	0.328	0	0.251	0.269	0.278	0.280	0.253
WT2	0.316	0.336	0.361	0.332	0.365	0.347	0.367	0.372	0.313	0.297	0.303	0.372	0.251	0	0.295	0.271	0.285	0.293
WT3	0.301	0.287	0.371	0.348	0.410	0.344	0.263	0.282	0.286	0.266	0.235	0.278	0.269	0.295	0	0.255	0.308	0.230
WT4	0.306	0.291	0.353	0.345	0.408	0.338	0.321	0.336	0.298	0.272	0.258	0.312	0.278	0.271	0.255	0	0.309	0.271
WT5	0.317	0.340	0.352	0.331	0.363	0.331	0.366	0.347	0.311	0.294	0.269	0.354	0.280	0.285	0.308	0.309	0	0.265
WT6	0.283	0.301	0.331	0.327	0.384	0.336	0.279	0.273	0.271	0.261	0.227	0.288	0.253	0.293	0.230	0.271	0.265	0
