ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_112	-2.027	10.821	9.00702346232894e-08	1.41410268358564e-05	Depleted	0.044	0.179	0.084	0.044	0.036	0.042	0.026	0.03	0.182	0.255	0.194	0.233	0.112	0.097
ASV_141	1.408	11.149	6.49084226153527e-07	5.09531117530519e-05	Enriched	0.204	0.076	0.256	0.158	0.192	0.205	0.193	0.219	0.091	0.114	0.06	0.054	0.067	0.072
ASV_73	1.279	12.109	5.05599027690355e-05	0.00264596824491286	Enriched	0.397	0.162	0.427	0.21	0.295	0.619	0.293	0.536	0.152	0.182	0.131	0.168	0.17	0.169
ASV_6	0.921	14.922	8.21526210103218e-05	0.00322449037465513	Enriched	2.579	1.373	2.651	1.861	2.102	2.329	3.786	2.748	1.487	1.397	1.257	1.458	1.319	1.321
ASV_41	1.134	12.951	0.000169878838596195	0.00533419553192052	Enriched	0.693	0.314	0.7	0.404	0.418	0.855	0.757	1.022	0.302	0.362	0.21	0.338	0.381	0.29
ASV_120	1.064	11.249	0.000651084882435185	0.0170367210903873	Enriched	0.203	0.098	0.138	0.224	0.269	0.205	0.149	0.233	0.069	0.075	0.137	0.146	0.096	0.067
ASV_146	-1.108	10.79	0.000851595538267055	0.0191000713582754	Depleted	0.069	0.149	0.093	0.028	0.074	0.073	0.049	0.095	0.088	0.164	0.164	0.211	0.147	0.121
ASV_156	1.013	10.927	0.00112047724803187	0.0204039564061515	Enriched	0.159	0.079	0.15	0.199	0.172	0.076	0.149	0.208	0.051	0.068	0.087	0.084	0.091	0.097
ASV_37	-0.967	12.809	0.00116965355194499	0.0204039564061515	Depleted	0.305	0.606	0.391	0.279	0.344	0.139	0.365	0.314	0.403	0.59	0.817	0.549	0.623	0.655
ASV_55	-1.059	12.302	0.00180130109952131	0.0282804272624846	Depleted	0.204	0.433	0.123	0.119	0.251	0.239	0.311	0.179	0.328	0.619	0.53	0.444	0.37	0.309
ASV_96	1.045	11.533	0.00206345839738142	0.0283168208044358	Enriched	0.246	0.121	0.174	0.133	0.346	0.275	0.334	0.211	0.08	0.135	0.09	0.138	0.136	0.145
ASV_79	0.834	11.963	0.00216434299142185	0.0283168208044358	Enriched	0.32	0.181	0.307	0.323	0.262	0.249	0.347	0.435	0.147	0.153	0.169	0.252	0.192	0.172
ASV_24	1.096	13.277	0.00237447413599045	0.0286763414885	Enriched	0.852	0.404	0.532	0.44	1.275	1.295	0.873	0.698	0.288	0.603	0.317	0.59	0.322	0.303
ASV_2	0.766	16.085	0.0028848402061654	0.0323514223119977	Enriched	5.558	3.286	5.777	3.392	6.043	5.816	7.406	4.915	3.418	3.884	2.292	3.017	3.966	3.14
ASV_56	0.687	12.362	0.00409334998896786	0.0428437298845302	Enriched	0.407	0.255	0.406	0.329	0.372	0.451	0.508	0.376	0.262	0.237	0.254	0.233	0.272	0.271
ASV_115	2.201	10.521	0.0046970478128919	0.0460897816640018	Enriched	0.148	0.032	0.105	0.285	0.033	0.257	0.021	0.187	0.003	0.055	0.06	0.005	0.011	0.059
ASV_39	0.761	12.856	0.00619760967309883	0.0543980653896421	Enriched	0.586	0.35	0.586	0.376	0.513	0.561	0.909	0.568	0.286	0.437	0.295	0.417	0.336	0.327
ASV_63	0.741	12.171	0.00641333569407092	0.0543980653896421	Enriched	0.361	0.217	0.388	0.288	0.352	0.333	0.424	0.384	0.259	0.234	0.139	0.225	0.181	0.263
ASV_111	-0.9	11.137	0.00686394086260976	0.0543980653896421	Depleted	0.096	0.182	0.12	0.149	0.092	0.045	0.095	0.076	0.099	0.218	0.202	0.192	0.168	0.215
ASV_82	-2.109	11.897	0.00692968985855313	0.0543980653896421	Depleted	0.091	0.384	0.126	0.13	0	0.163	0.031	0.097	0.198	0.525	0.128	0.317	0.978	0.158
ASV_33	-0.713	13.13	0.00887802344059983	0.0663737942940083	Depleted	0.433	0.712	0.622	0.498	0.367	0.383	0.223	0.506	0.593	0.546	0.918	0.685	0.69	0.84
ASV_86	-1.179	11.69	0.00930603654662888	0.0664112608100334	Depleted	0.127	0.286	0.186	0.249	0.036	0.11	0.069	0.111	0.256	0.354	0.301	0.17	0.453	0.18
ASV_51	1.915	12.236	0.0119747166262232	0.081740456970306	Enriched	0.469	0.128	0.481	0.31	1.673	0.021	0.11	0.216	0.142	0.135	0.199	0.051	0.154	0.083
