Pathway	Healthy01	Healthy02	Healthy03	Healthy04	Healthy05	Healthy06	Healthy07	Healthy08	Healthy09	Healthy10	Healthy11	Healthy12	Healthy13	Healthy14	Healthy15	Healthy16	Healthy17	Healthy18	Healthy19	Healthy20	Patients01	Patients02	Patients03	Patients04	Patients05	Patients06	Patients07	Patients08	Patients09	Patients10	Patients11	Patients12	Patients13	Patients14	Patients15	Patients16	Patients17	Patients18	Patients19	Patients20
Pathway1	28724.89745	10519.48265	5695.765705	44930.53325	25161.02437	23966.16878	24173.23108	36978.68756	33835.56104	17558.25255	18648.58963	38112.67911	45308.92515	38172.69209	27845.3736	9095.489008	9465.369607	16452.18106	34457.25865	22245.2226	32803.81756	27795.0307	38492.52656	18702.91795	49358.0804	62771.13924	27156.45915	29675.98681	25041.0452	21901.29619	49871.23016	24786.50564	19813.74769	43769.66985	42783.97964	49719.29686	46144.85541	12318.87781	43684.31798	6463.280459
Pathway2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway3	413.5164129	341.9725369	305.7853029	802.102984	638.4231622	275.4819861	513.1686155	2429.161646	2530.341039	454.4019483	185.2953215	597.5007631	6226.224035	1572.09819	334.6430813	375.8637341	120.3787808	291.4267471	1382.629948	224.6420202	877.7747981	1117.439783	1626.298596	719.1285366	1053.927595	2752.492032	1314.156227	340.6832215	1510.761038	434.5394385	1608.298902	259.4916674	672.9338058	1304.714305	2113.372821	2116.501658	1098.773543	316.6982454	795.3470399	64.19745916
Pathway4	12793.16184	5943.390239	4664.425186	18751.47737	11325.57547	10011.52523	11880.2628	20365.37993	15096.50348	12554.34292	10051.99679	17415.59211	28200.56804	15574.51261	12796.9201	4608.762324	7071.081897	7601.92707	14591.46562	2296.92	12392.68298	12301.04846	20590.67059	12471.54062	26896.66354	33717.35274	13450.90148	11667.47959	13481.49931	12579.91097	36203.86293	8608.90257	12085.75043	19432.7477	13886.05217	19085.3594	19892.68318	5211.429495	16895.90282	8135.643112
Pathway5	2554.257897	1153.853551	2267.379195	2863.400105	1512.237935	1533.973878	1824.61041	2025.454661	3469.687984	4543.007923	2944.259953	3368.649083	3732.245128	2331.420039	2041.506971	769.5077377	3200.071737	1845.917698	1887.1564	2040.50692	1249.752286	6504.08353	7002.182238	3353.862496	5944.685202	15283.56033	3193.60001	3032.402527	3399.102677	3060.212592	1891.465337	1122.703654	2515.069681	2285.551122	2263.915236	4990.309742	2545.228799	1117.69126	5251.299145	4297.27599
Pathway6	2648.369782	730.5205612	378.3604117	3476.404981	2527.500381	2098.929112	1448.949678	1895.458483	3294.237987	1524.293116	943.8592959	2611.069093	3562.97357	3441.504598	3547.084541	414.4217497	496.4351415	544.6906207	2832.567411	2542.02454	1029.633007	4225.465061	1474.388091	911.3193634	2893.687464	8824.91905	3042.906061	745.8734285	418.1880591	879.829206	4837.362568	930.0087519	2098.158718	2589.247927	3357.271129	4087.107639	3169.914674	342.3775837	4525.08392	366.9484344
Pathway7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.811778123	0	0	0
Pathway8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway9	28321.77997	9029.501418	4558.897873	38849.02349	23014.75797	21800.26822	18163.08545	30247.74346	31652.87641	15056.7476	15626.36386	34611.07448	44558.05902	33921.54311	27390.18745	7021.014906	6910.961361	13976.65435	30788.26834	22290.02245	23520.6949	29352.35376	39071.42116	19911.01399	48393.67985	80671.54996	28163.47214	11823.96043	27255.66411	21063.66543	31991.71605	21407.71258	22466.06253	43415.96469	39568.66954	45620.36636	44093.18056	8929.853831	44799.9488	5547.986937
Pathway10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
