Sample,grazing,depth,2-Ethyl-2-Hydroxybutyric acid,4-Pyridoxic acid,"5-Androstane-3,17-dione",1H-Indole-3-Acetic Acid,4-Pyridoxate,Azelaic acid,4-Oxopentanoate,Prostaglandin E2,Homovanillic acid,20-Carboxy-Leukotriene B4,Deoxycholic acid,Isoleucine,Indolelactic acid,Leu-Pro,Thymine,p-Acetaminobenzaldehyde,Mandelonitrile,Hexadecanamide,Indole-3-carboxylic acid,7-Ketodeoxycholic acid,L-Serine,choline chloride,2-Quinolinecarboxylic acid,Palmitoleic acid,Glutamine,Opthalmic acid,D-Methionine,D(-)-Arginine,Lysine,Dl-Homoserine,"N,N-Dimethylglycine",Glu-Leu,N-Methylalanine,Gamma-Caprolactone,1-Linoleoyl-Rac-Glycerol,o-Toluidine,Diisooctyl phthalate,5-Hydroxyindole-3-acetic acid,Tetrahydro-11-deoxycortisol
LGA2,LG,A,4084655.489,2542502.839,1220097.839,4427341.116,140361763.7,11845807.74,7692368.403,4010664.825,648828.2588,3557878.257,303044080.3,4660660.487,3916226.77,188913691.7,6221383.373,1505547.128,13236889.58,403019689,133214373.5,1297024.36,40480891.27,4557463.516,16434035.53,1592248.026,2616106.57,3507805.608,421068298.6,352296748.6,329350385.8,109159125,85830921.29,16719371.33,6057096.657,2643329.209,48419450.68,9833104.814,7873284.344,251759559.1,7447208.861
LGA3,LG,A,4325432.965,2406030.701,1195816.774,4432032.065,133128339.6,12156883.7,6561375.382,4179966.893,648189.5327,4731203.069,647336975.3,7874409.67,175881.6526,30304123.59,7982064.025,8309247.021,19240485.84,515463294.8,168007183.9,8430455.401,22632825.22,2876103.74,2136324.922,4538529.708,1092678.252,7051658.361,462853611.4,126832690.7,168078883.2,99683915.95,83310866.02,14924813.42,10514573.46,2463646.499,24581301.22,7859284.181,22606106.53,90197473.25,6538320.359
LGB1,LG,B,1855150.574,709087.7792,940073.0022,4021588.2,75714640.22,4744432.67,6936520.603,1229273.239,9631019.837,1306221.063,191158927.6,4296079.022,12186597.28,32380037.36,7048807.944,680590.4212,1236106.841,347926498.2,132603326.7,2542987.296,23566282.68,5033295.381,17645510.01,1171197.194,9537535.856,1903093.432,90112718.96,69991109.61,49276518.75,48678570.11,38508927.71,4356115.131,1357116.785,1653330.476,48923855.53,5143521.723,371862.3859,208667873.4,8700384.719
LGB2,LG,B,2272406.593,1859475.055,891573.2295,4100299.237,108332965.7,7291158.158,7018447.972,2717932.625,11390327.27,4300717.334,824324071.8,3242603.441,4082481.297,30913201.88,8005276.949,1722581.597,5432643.42,397590800.5,170375685.6,2494533.121,14503565.61,4725507.783,17463555.04,1363999.054,1517353.06,1842244.703,124242194.3,37724640.84,45205948.08,34700281.44,31995447.7,6079721.896,2003672.41,2042743.935,80877877.56,7323486.35,5550701.742,246057943.3,17246172.79
LGB3,LG,B,3134081.907,2210261.964,933571.4993,5433313.144,127133133.4,8401679.886,6686927.042,2864973.614,4704907.552,3042759.04,597715302.7,4237944.355,1879103.692,23078803.7,5882277.974,20465727.29,2121525.671,364640521.8,158133141.2,3181106.377,21211910.43,4095613.36,8035948.611,2162751.64,3954890.287,4512900.464,257149971.1,60800568.4,119122637,85639810.22,29982890.84,6993438.684,4477450.914,4286977.109,65097284.17,4685343.039,13623927.74,198753131.9,16173141.72
LGC1,LG,C,2878595.326,1901671.868,1039142.337,4190180.279,122321189.8,7485938.542,7237435.42,3143175.259,8961430.01,3618266.198,505376105.4,4326784.576,13215305.11,26212128.97,8685149.681,2377843.343,4458998.671,371222483.8,97490233.52,2904670.778,22558518.14,4639864.13,15785317.79,1039632.733,3791711.306,4138649.818,110853993.1,47413136.06,51043614.72,51981408.86,27377314.44,6424237.038,1697503.984,1976502.729,69133276.81,2714636.245,1500184.542,246905869.6,13429270.91
LGC2,LG,C,3232006.551,1303798.003,173055.9031,2082357.599,96427097.04,9381795.586,6898340.674,3139500.381,1018007.883,4593684.16,467722092.2,5031611.234,22068496.32,17705212.68,8040160.839,813529.5693,2800676.932,423759417.3,124515397.7,2425176.974,23214439.96,5968828.679,20432906.47,1780028.19,8929616.84,3730058.417,81947647.91,34305305.82,53599178.21,51614011.9,36293273.44,5219335.423,1418834.072,1798771.476,82900185.56,6619053.144,5296752.677,284122843.3,19586880.97
LGC3,LG,C,4033624.778,2427471.984,1134226.089,4316722.055,129597191.6,11777359.68,6911996.674,4038362.491,507019.1076,1966205.117,224961000.9,7989171.31,561082.5828,56949602.6,16820517.7,463403.0899,1936277.391,365086277.6,193370334.2,3838210.368,26830912.56,4835482.526,31991757.54,2055421.134,1204582.328,5761861.905,400779530.9,185658214.1,204933522,45371361.14,87909727.89,23442508.94,6064640.406,7670474.955,55568128.82,5828585.66,15468950.31,356522765.8,7136079.84
MGA1,MG,A,4105277.283,4403277.568,3163781.949,5230114.559,192581319.6,16571552.02,8145144.503,6090559.972,707794.2389,6150353.341,1359507076,10173745.18,68544.95728,14694438.39,5719573.955,57358107.14,13396380.5,508262155.3,41414878.79,9763318.094,11997964.76,2473221.454,2531007.815,4743863.84,1310214.155,11716674.89,183461074.6,28220808.31,54465966.49,67497466.23,36516600.43,4769714.907,1197823.276,7121568.507,37180545.96,10528071.33,23689413.08,61142966.04,6943489.033
MGA2,MG,A,4385784.803,2554602.259,1376396.918,4915248.517,139239342.3,12796574.43,8994086.339,4338527.882,1089581.945,5441883.299,850515916.9,9105273.458,946456.6505,17243334.57,4911463.411,34625732.66,15565253.89,391944047.3,63236916.91,5232956.848,13000388.08,4147384.467,11276738.57,3021853.529,684089.4987,8434944.505,143469630.5,50634530.19,66360363.51,42411303.32,36030688.89,5270419.622,2301422.186,5714977.434,67687824.86,4566864.785,12557679.73,234700206.5,12007484.85
