SampleID	Group
DW1BS	BS
DN1BS	BS
DW2BS	BS
DN2BS	BS
DW3BS	BS
DN3BS	BS
DW4BS	BS
DN4BS	BS
DW5BS	BS
DN5BS	BS
DW6BS	BS
DN6BS	BS
DW7BS	BS
DN7BS	BS
ZW1BS	BS
ZN1BS	BS
ZW2BS	BS
ZN2BS	BS
ZW3BS	BS
ZN3BS	BS
ZW4BS	BS
ZN4BS	BS
ZW5BS	BS
ZN5BS	BS
ZW6BS	BS
ZN6BS	BS
ZW7BS	BS
ZN7BS	RS
DW1RS	RS
DN1RS	RS
DW2RS	RS
DN2RS	RS
DW3RS	RS
DN3RS	RS
DW4RS	RS
DN4RS	RS
DW5RS	RS
DN5RS	RS
DW6RS	RS
DN6RS	RS
DW7RS	RS
DN7RS	RS
ZW1RS	RS
ZN1RS	RS
ZW2RS	RS
ZN2RS	RS
ZW3RS	RS
ZN3RS	RS
ZW4RS	RS
ZN4RS	RS
ZW5RS	RS
ZN5RS	RS
ZW6RS	RS
ZN6RS	RS
ZW7RS	RS
ZN7RS	RS
DW1R	R
DN1R	R
DW2R	R
DN2R	R
DW3R	R
DN3R	R
DW4R	R
DN4R	R
DW5R	R
DN5R	R
DW6R	R
DN6R	R
DW7R	R
DN7R	R
ZW1R	R
ZN1R	R
ZW2R	R
ZN2R	R
ZW3R	R
ZN3R	R
ZW4R	R
ZN4R	R
ZW5R	R
ZN5R	R
ZW6R	R
ZN6R	R
ZW7R	R
ZN7R	R
