Sample,grazing,depth,metabolite1,metabolite2,metabolite3,metabolite4,metabolite5,metabolite6,metabolite7,metabolite8,metabolite9,metabolite10,metabolite11,metabolite12,metabolite13,metabolite14,metabolite15,metabolite16,metabolite17,metabolite18,metabolite19,metabolite20,metabolite21,metabolite22,metabolite23,metabolite24,metabolite25,metabolite26,metabolite27,metabolite28,metabolite29,metabolite30,metabolite31,metabolite32,metabolite33,metabolite34,metabolite35,metabolite36,metabolite37,metabolite38,metabolite39
MKA1,MK,A,643449.3081,5536872.702,7404676.821,15065047.29,175073926.9,4754649.599,6312262.757,55584514.58,21535830.07,9570973.934,33800496.33,6474153.188,1088930.251,4336104.461,33196909.48,61361332.94,2876165.408,49514514.99,25655280.28,166782795.1,10651522.63,1191103.777,4312603.491,2300916.195,2248383.14,10907240.69,8875743.722,4002979.607,37649889.81,462056504.8,12178527.73,52143733.76,5199612.686,13358580.35,62313.59753,9248859.254,1235915524,5591230.31,3732070.257
MKA2,MK,A,990529.0411,3944116.256,8176442.126,11633249.48,126581220.3,4468407.743,10915895.32,213363824.1,11416072.48,4151695.259,61534386.24,5195434.031,2092201.987,4791290.565,32755171.72,38555730.29,1251269.925,60327603.19,46031391.08,130426936.8,7668131.368,621899.5443,2747139.572,10251580.52,3770349.515,11818534.62,4757233.498,2322365.69,57488106.28,356312770.3,14150230.81,31477938.78,4464966.737,15675758.7,860415.1368,8277521.325,773196288.1,4947166.635,3987077.094
MKA3,MK,A,550790.6452,3952585.286,7084928.453,11991053.81,138105918.9,4383094.974,9146273.288,237110707,21232493.04,4584628.474,50045848.61,4543123.223,2476159.727,5246033.962,35391015.29,53290474.51,1253058.373,52954861.34,27351475.23,130524693.1,8405703.239,1800456.736,2563569.029,10166719.39,3788827.603,13271721.03,6185594.602,2528096.605,74376154.13,413924983.5,15410944.6,29024036.14,7908571.179,15905726.3,1539793.392,13377108.75,868645876.4,2548851.455,4032953.874
MKB1,MK,B,908094.634,3686599.461,8222487.099,10299158.24,156429330.6,5712049.707,3031973.582,111652826.3,47271150.73,6204742.649,23626991.05,2941811.346,2397210.027,7381143.977,40516921.47,53686394.94,1007742.196,73893033.66,49969440.96,154369534,7921967.493,993790.616,3135744.305,1785920.001,2696884.799,9581577.312,10448627.74,2868105.963,167986460.1,438811995.3,34818972.54,606574.0006,3789132.753,15121681.54,55132.2565,8010944.129,1107710763,3643506.438,3691004.616
MKB2,MK,B,3322169.726,4029882.983,7496419.544,8365263.221,172775945.9,7892876.376,17058386.09,246114934.7,11938439.96,2024800.163,74568163.5,8911265.525,1444621.484,5900807.583,37293076.23,40148363.44,2092724.142,46902585.45,39301880.63,101976746.9,4931509.32,2835294.325,1732777.19,17117373.88,3901492.999,19726228.07,8765504.169,3852852.112,97913015.38,440079547.1,10128657.66,19949101.02,4623211.238,23245219.24,2540025.414,5024421.492,666723424.5,6139694.156,3629203.201
MKB3,MK,B,946055.9266,3178476.853,9910822.341,9898211.378,150089669.8,7619074.279,2865747.796,241982412.7,9787547.992,3279705.293,22948261.14,7226861.798,2256386.375,7331497.043,30595503.26,47709728.03,1602422.936,56837145.38,49191265.04,153326932.2,7614128.392,772332.4382,4199871,12450845.49,2955464.397,16843368.82,5182977.869,3164094.044,87176570.73,546456568.4,18862365.09,20297566.54,3941571.481,17994242.72,177003.4548,5762518.443,921406030.6,3293930.903,3703235.86
MKC1,MK,C,927283.4409,3650536.629,7330848.369,10668067.67,156065811.2,5814676.769,3189647.381,94653848.61,34872872.3,6549385.366,30360361.25,5593300.323,6642267.54,12692576.32,66063385.8,98056566.17,1073451.074,261086254.5,276539826.4,408228123,5756852.179,1067779.757,2813956.76,4301708.394,3370603.465,22675024.06,9328313.444,2965950.316,170893601.9,528785476,14980477.92,8008681.311,3494003.108,70221429.47,783932.9276,15259115.48,1061574985,5776964.684,4065568.546
MKC2,MK,C,504038.1489,2903784.663,8464216.341,9193529.671,123500584.2,1317020.445,11300548.62,170991308.8,7549062.898,7194614.321,50532766.4,3290071.94,2092521.273,6063262.68,28821409.5,65644304.94,269113.0269,71633424,29402792.11,139867249.1,8345236.64,2522821.118,2285877.898,5497169.898,2972732.026,17056502.32,7765585.797,2358380.301,82271099.3,529916562.5,917049.5095,15131989.85,11386209.72,25968216.97,338303.8121,4155721.706,1354625111,4125406.98,2124529.996
MKC3,MK,C,898991.1554,3175858.576,7499546.804,10363944.71,155106266.2,5594768.905,10040194.29,263752463.8,25083876.17,5858766.118,48871040.48,4739528.152,4525475.619,8080486.568,67642471.75,77002785.25,1057477.085,166487474.7,170357161.6,305034557.2,5623613.651,1701319.636,2401802.164,10847701.54,5477634.058,27017962.07,7920352.653,2937545.252,200711618.9,382175824,19206823.95,6939037.937,7539190.187,72782354.01,1923803.465,5776228.429,794162509.5,5682144.602,3741127.815
MCA1,MC,A,1421663.296,4062867.201,11459133.48,10795176.05,131094193.9,3211739.934,10167455.16,116192157.6,21086128.07,7774295.242,53196878.37,2967079.358,1973246.348,5764721.691,27205071.7,38827230.44,2358348.026,41131701.41,28710701.47,123566071.5,7717679.07,920620.9479,2212527.696,2836841.472,3101407.963,13420878.16,4343473.538,2465652.316,45550054.39,437007865.3,16098982.08,18006105.13,4369972.662,25385351.21,313903.5553,4400069.947,828235950.2,3921423.385,2688025.201
