OTU,Group
ASV_1,Rhso
ASV_1,Root
ASV_1,Tbuso
ASV_2,Rhso
ASV_2,Root
ASV_2,Tbuso
ASV_3,Rhso
ASV_3,Root
ASV_3,Tbuso
ASV_51,Rhso
ASV_51,Root
ASV_51,Tbuso
ASV_20,Rhso
ASV_20,Root
ASV_20,Tbuso
ASV_50,Rhso
ASV_50,Root
ASV_50,Tbuso
ASV_6,Rhso
ASV_6,Root
ASV_6,Tbuso
ASV_340,Rhso
ASV_340,Root
ASV_340,Tbuso
ASV_12,Rhso
ASV_12,Root
ASV_12,Tbuso
ASV_7,Rhso
ASV_7,Root
ASV_7,Tbuso
ASV_40,Rhso
ASV_40,Root
ASV_40,Tbuso
ASV_5,Rhso
ASV_5,Root
ASV_5,Tbuso
ASV_8,Rhso
ASV_8,Root
ASV_8,Tbuso
ASV_13,Rhso
ASV_13,Root
ASV_13,Tbuso
ASV_9,Rhso
ASV_9,Root
ASV_9,Tbuso
ASV_14,Rhso
ASV_14,Root
ASV_14,Tbuso
ASV_11,Rhso
ASV_11,Root
ASV_11,Tbuso
ASV_10,Root
ASV_97,Rhso
ASV_97,Root
ASV_97,Tbuso
ASV_44,Rhso
ASV_44,Tbuso
ASV_16,Rhso
ASV_16,Root
ASV_16,Tbuso
ASV_22,Rhso
ASV_22,Root
ASV_22,Tbuso
ASV_15,Rhso
ASV_15,Root
ASV_59,Rhso
ASV_59,Root
ASV_59,Tbuso
ASV_455,Rhso
ASV_455,Tbuso
ASV_19,Rhso
ASV_19,Root
ASV_19,Tbuso
ASV_334,Rhso
ASV_334,Root
ASV_23,Rhso
ASV_23,Root
ASV_23,Tbuso
ASV_225,Rhso
ASV_225,Root
ASV_225,Tbuso
ASV_27,Rhso
ASV_27,Root
ASV_27,Tbuso
ASV_1219,Rhso
ASV_1219,Tbuso
ASV_30,Rhso
ASV_30,Root
ASV_30,Tbuso
ASV_25,Rhso
ASV_25,Root
ASV_25,Tbuso
ASV_26,Rhso
ASV_26,Root
ASV_26,Tbuso
ASV_36,Rhso
ASV_36,Root
ASV_36,Tbuso
ASV_29,Rhso
ASV_29,Root
ASV_73,Rhso
ASV_73,Root
ASV_73,Tbuso
ASV_166,Rhso
ASV_166,Root
ASV_166,Tbuso
ASV_48,Rhso
ASV_48,Root
ASV_48,Tbuso
ASV_31,Rhso
ASV_31,Root
ASV_31,Tbuso
ASV_6120,Rhso
ASV_6120,Root
ASV_6120,Tbuso
ASV_37,Rhso
ASV_37,Root
ASV_35,Rhso
ASV_35,Root
ASV_35,Tbuso
ASV_39,Rhso
ASV_39,Root
ASV_42,Rhso
ASV_42,Root
ASV_42,Tbuso
ASV_32,Rhso
ASV_32,Tbuso
ASV_34,Rhso
ASV_34,Tbuso
ASV_49,Rhso
ASV_49,Root
ASV_46,Rhso
ASV_46,Root
ASV_46,Tbuso
ASV_52,Rhso
ASV_52,Root
ASV_102,Rhso
ASV_102,Root
ASV_102,Tbuso
ASV_54,Rhso
ASV_54,Tbuso
ASV_47,Rhso
ASV_47,Root
ASV_341,Rhso
ASV_341,Tbuso
ASV_88,Rhso
ASV_88,Tbuso
ASV_45,Root
ASV_56,Rhso
ASV_56,Root
ASV_58,Rhso
ASV_58,Root
ASV_53,Rhso
ASV_53,Tbuso
ASV_76,Rhso
ASV_76,Root
ASV_76,Tbuso
ASV_64,Rhso
ASV_64,Root
ASV_566,Rhso
ASV_566,Root
ASV_566,Tbuso
ASV_69,Rhso
ASV_69,Tbuso
ASV_6444,Rhso
ASV_6444,Tbuso
ASV_511,Rhso
ASV_511,Tbuso
ASV_892,Rhso
ASV_892,Root
ASV_7109,Rhso
ASV_7109,Tbuso
ASV_96,Rhso
ASV_96,Tbuso
ASV_143,Rhso
ASV_143,Tbuso
ASV_71,Rhso
ASV_71,Root
ASV_63,Rhso
ASV_63,Tbuso
ASV_89,Rhso
ASV_89,Tbuso
ASV_693,Rhso
ASV_693,Root
ASV_693,Tbuso
ASV_66,Rhso
ASV_66,Tbuso
ASV_105,Rhso
ASV_105,Tbuso
ASV_57,Rhso
ASV_57,Tbuso
ASV_61,Rhso
ASV_61,Root
ASV_61,Tbuso
ASV_85,Rhso
ASV_85,Root
ASV_85,Tbuso
ASV_690,Rhso
ASV_690,Root
ASV_106,Rhso
ASV_106,Root
ASV_65,Root
ASV_81,Root
ASV_297,Rhso
ASV_297,Root
ASV_297,Tbuso
ASV_527,Root
ASV_67,Root
ASV_5321,Rhso
ASV_5321,Root
ASV_5321,Tbuso
ASV_3752,Root
ASV_92,Rhso
ASV_92,Tbuso
ASV_161,Rhso
ASV_161,Root
ASV_161,Tbuso
ASV_70,Root
ASV_75,Rhso
ASV_75,Tbuso
ASV_705,Rhso
ASV_705,Root
ASV_108,Rhso
ASV_108,Tbuso
ASV_79,Rhso
ASV_79,Tbuso
ASV_667,Rhso
ASV_667,Tbuso
ASV_100,Rhso
ASV_100,Tbuso
ASV_186,Rhso
ASV_186,Root
ASV_186,Tbuso
ASV_95,Rhso
ASV_95,Root
ASV_74,Rhso
ASV_74,Root
ASV_74,Tbuso
ASV_72,Root
ASV_77,Rhso
ASV_77,Root
ASV_68,Rhso
ASV_68,Tbuso
ASV_94,Rhso
ASV_94,Tbuso
ASV_80,Rhso
ASV_80,Tbuso
ASV_5523,Rhso
ASV_5523,Tbuso
ASV_495,Rhso
ASV_495,Tbuso
ASV_99,Rhso
ASV_99,Root
ASV_2848,Rhso
ASV_2848,Tbuso
ASV_140,Rhso
ASV_140,Tbuso
ASV_83,Rhso
ASV_83,Root
ASV_2426,Rhso
ASV_2426,Tbuso
ASV_1822,Rhso
ASV_1822,Root
ASV_91,Rhso
ASV_91,Tbuso
ASV_2869,Rhso
ASV_2869,Root
ASV_2869,Tbuso
ASV_5864,Rhso
ASV_5864,Root
ASV_5864,Tbuso
ASV_5469,Rhso
ASV_5469,Root
ASV_124,Rhso
ASV_124,Tbuso
ASV_87,Rhso
ASV_87,Root
ASV_87,Tbuso
ASV_5837,Rhso
ASV_5837,Root
ASV_5837,Tbuso
ASV_4165,Rhso
ASV_4165,Tbuso
ASV_7066,Rhso
ASV_7066,Tbuso
ASV_112,Rhso
ASV_112,Tbuso
ASV_148,Rhso
ASV_148,Root
ASV_148,Tbuso
ASV_78,Root
ASV_739,Root
ASV_82,Root
ASV_109,Rhso
ASV_109,Tbuso
ASV_282,Rhso
ASV_282,Tbuso
ASV_111,Rhso
ASV_111,Root
ASV_111,Tbuso
ASV_114,Rhso
ASV_114,Tbuso
ASV_110,Rhso
ASV_110,Root
ASV_110,Tbuso
ASV_1617,Rhso
ASV_1617,Tbuso
ASV_160,Rhso
ASV_160,Root
ASV_121,Rhso
ASV_121,Tbuso
ASV_98,Root
ASV_86,Root
ASV_104,Rhso
ASV_104,Tbuso
ASV_115,Root
ASV_7568,Rhso
ASV_7568,Root
ASV_155,Rhso
ASV_155,Tbuso
ASV_93,Rhso
ASV_93,Root
ASV_3560,Rhso
ASV_3560,Tbuso
ASV_504,Rhso
ASV_504,Tbuso
ASV_173,Rhso
ASV_173,Root
ASV_119,Rhso
ASV_119,Tbuso
ASV_103,Rhso
ASV_103,Tbuso
ASV_190,Rhso
ASV_190,Root
ASV_398,Root
ASV_6714,Rhso
ASV_6714,Tbuso
ASV_231,Rhso
ASV_231,Root
ASV_138,Rhso
ASV_138,Root
ASV_133,Root
ASV_116,Rhso
ASV_116,Root
ASV_125,Rhso
ASV_125,Tbuso
ASV_129,Rhso
ASV_129,Tbuso
ASV_131,Root
ASV_135,Rhso
ASV_135,Tbuso
ASV_3950,Rhso
ASV_3950,Tbuso
ASV_2796,Rhso
ASV_2796,Tbuso
ASV_107,Root
ASV_1351,Rhso
ASV_1351,Tbuso
ASV_570,Rhso
ASV_570,Root
ASV_570,Tbuso
ASV_144,Rhso
ASV_144,Tbuso
ASV_3489,Rhso
ASV_3489,Root
ASV_357,Root
ASV_122,Rhso
ASV_122,Tbuso
ASV_128,Root
ASV_145,Rhso
ASV_145,Tbuso
ASV_137,Root
ASV_370,Rhso
ASV_370,Tbuso
ASV_620,Rhso
ASV_620,Tbuso
ASV_139,Rhso
ASV_139,Tbuso
ASV_1987,Rhso
ASV_1987,Tbuso
ASV_2256,Rhso
ASV_2256,Tbuso
ASV_134,Root
ASV_220,Rhso
ASV_220,Tbuso
ASV_117,Root
ASV_306,Rhso
ASV_306,Tbuso
ASV_149,Root
ASV_156,Rhso
ASV_156,Root
ASV_183,Root
ASV_171,Rhso
ASV_171,Tbuso
ASV_141,Rhso
ASV_141,Root
ASV_136,Rhso
ASV_136,Tbuso
ASV_6546,Root
ASV_120,Rhso
ASV_120,Tbuso
ASV_123,Rhso
ASV_123,Tbuso
ASV_197,Rhso
ASV_197,Tbuso
ASV_4679,Root
ASV_198,Rhso
ASV_198,Tbuso
ASV_153,Rhso
ASV_127,Rhso
ASV_127,Tbuso
ASV_6335,Root
ASV_1452,Rhso
ASV_1585,Tbuso
ASV_3246,Tbuso
ASV_130,Root
ASV_151,Rhso
ASV_151,Tbuso
ASV_221,Rhso
ASV_221,Tbuso
ASV_158,Tbuso
ASV_253,Root
ASV_169,Rhso
ASV_5577,Rhso
ASV_5577,Tbuso
ASV_152,Root
ASV_238,Root
ASV_337,Rhso
ASV_337,Tbuso
ASV_7567,Tbuso
ASV_229,Rhso
ASV_229,Tbuso
ASV_237,Tbuso
ASV_323,Root
ASV_157,Tbuso
ASV_1793,Tbuso
ASV_4445,Rhso
ASV_4445,Tbuso
ASV_3009,Root
ASV_777,Root
ASV_959,Root
ASV_178,Root
ASV_4677,Root
ASV_150,Root
ASV_2784,Root
ASV_246,Rhso
ASV_246,Tbuso
ASV_159,Rhso
ASV_205,Rhso
ASV_163,Root
ASV_6402,Rhso
ASV_6402,Tbuso
ASV_1966,Tbuso
ASV_192,Root
