contig_id	type
IF_122::140885	Novel
IF_009::5958	Novel
IF_042-2::2530	ref
S_7G29::5454	ref
IF_072::2233	ref
IF_050-2::134631	ref
IF_100-2::4072	ref
IF_177::100141	Novel
IF_014-2::71591	Novel
S_7G30::241206	Novel
S_7G45::73825	ref
KWS_10989::146908	ref
KWS_10562::2279	ref
KWS_10476::206749	ref
S_7G7::12726	ref
KWS_10997::133400	ref
IF_101-2::1908	ref
S_7G46::750	ref
KeioHC_117::10051	ref
KWS_10896::17997	ref
KWS_10919::776	ref
S_7G15::8504	ref
S_7G46::50938	ref
KWS_10637::102745	Novel
IF_170::47388	ref
S_6G5::125739	ref
IF_099::17598	ref
S_6G14::243470	ref
IF_041::14138	ref
IF_088::13575	Novel
S_7G21::94401	ref
KWS_10900::29312	Novel
S_7G17::2015	Novel
IF_046-2::52764	ref
IF_110::23318	ref
IF_019::65089	Novel
IF_082::17579	ref
S_7G43::2233	ref
S_7G18::205138	ref
IF_059::230959	Novel
KeioHC_113::144562	ref
KWS_10648::133286	Novel
S_6G7::20246	ref
S_7G12::2015	ref
IF_079::104283	ref
IF_020-2::90730	ref
KWS_10539::55861	ref
KWS_10993::829	ref
IF_025::139801	Novel
KeioHC_K2::66804	ref
IF_076::6273	ref
IF_019::18163	ref
IF_187::126965	ref
IF_092-2::63067	ref
S_7G21::73177	ref
KWS_10466::127775	ref
IF_139::3596	Novel
KWS_10454::25253	Novel
KeioHC_126::18163	ref
S_7G43::85763	ref
IF_085::95741	ref
KWS_10997::52794	ref
KWS_10911::50484	Novel
IF_070::3596	ref
S_7G18::7969	Novel
IF_082::12394	ref
KeioHC_5::243508	ref
S_6G16::19908	ref
IF_100::4878	ref
KWS_10480::6227	ref
IF_042-2::18586	Novel
S_7G15::178214	ref
IF_150::3596	ref
S_6G7::23446	ref
S_7G34::21398	ref
KeioHC_13::14723	ref
KWS_10648::902	ref
KWS_10558::129054	ref
IF_081::3209	ref
S_7G25::180202	ref
IF_011::202164	ref
S_6G7::66762	ref
KWS_10459::254903	Novel
KWS_10638::19423	ref
KeioHC_10::85049	ref
S_7G18::75251	ref
S_7G24::113534	ref
