#OTUID	DN1BS	DN1R	DN1RS	DN2BS	DN2R	DN2RS	DN3BS	DN3R	DN3RS	DN4BS	DN4R	DN4RS	DN5BS	DN5R	DN5RS	DN6BS	DN6R	DN6RS	DN7BS	DN7R	DN7RS	DW1BS	DW1R	DW1RS	DW2BS	DW2R	DW2RS	DW3BS	DW3R	DW3RS	DW4BS	DW4R	DW4RS	DW5BS	DW5R	DW5RS	DW6BS	DW6R	DW6RS	DW7BS	DW7R	DW7RS	ZN1BS	ZN1R	ZN1RS	ZN2BS	ZN2R	ZN2RS	ZN3BS	ZN3R	ZN3RS	ZN4BS	ZN4R	ZN4RS	ZN5BS	ZN5R	ZN5RS	ZN6BS	ZN6R	ZN6RS	ZN7BS	ZN7R	ZN7RS	ZW1BS	ZW1R	ZW1RS	ZW2BS	ZW2R	ZW2RS	ZW3BS	ZW3R	ZW3RS	ZW4BS	ZW4R	ZW4RS	ZW5BS	ZW5R	ZW5RS	ZW6BS	ZW6R	ZW6RS	ZW7BS	ZW7R	ZW7RS
ASV_1	482	673	1065	21	25	75	21	19	82	415	1075	3426	168	340	711	57	74	99	784	1149	1188	176	273	530	246	36	42	54	259	51	497	7276	1732	1266	6235	6101	3823	3545	6027	1878	3236	2134	12797	1923	16154	16572	11078	29124	10710	2875	18980	11642	28	150	50	12341	19696	215	22	204	40	270	186	6847	7562	13788	11140	4061	18117	7614	13202	8703	6254	3115	10470	385	856	19726	4941	3533	9104	379	24	133
ASV_4	5594	8334	5240	281	19780	1330	361	1340	949	3868	23949	6728	101	376	123	486	5725	2804	14481	7143	5328	4074	11495	6563	3637	2211	1543	31	188	756	697	4231	2203	146	3386	684	1247	5379	3367	1001	258	2075	2041	426	729	895	1203	807	316	1642	1155	627	350	574	514	1742	1719	16119	6135	9472	12374	3023	6163	1110	4515	861	210	307	401	1285	1416	2881	2900	7910	5250	3726	2232	1394	8537	4789	7043	9583	3481	3389
ASV_3	581	1031	469	252	12794	9752	273	319	530	1063	956	1091	1064	17766	1497	422	1434	433	304	1183	1042	70	5133	747	110	5533	8507	613	17567	481	239	2827	522	213	1843	512	573	1067	976	221	1651	1104	569	7792	1255	66	1772	275	447	1252	614	370	2360	3163	2889	2297	1130	1463	17588	4306	6586	18549	13322	490	6549	1146	124	47	224	210	654	649	1633	2568	2786	449	25036	1137	817	15351	6519	1563	23586	2015
ASV_5	17262	5976	15647	122	159	62	152	180	637	61	117	291	254	475	878	473	974	478	1784	7651	3092	13995	5215	12071	13838	13522	77	271	1325	521	359	1466	1549	404	994	1298	6686	4759	8357	4222	4956	8924	6837	326	3245	415	92	363	2780	2006	4958	6007	37	49	19	775	4051	225	6	96	50	11	85	3543	1160	2777	256	58	513	12398	4131	10887	38	26	102	636	1657	3951	773	424	797	1403	267	470
ASV_6	178	25	110	9	10	42	17	626	62	165	44	231	2238	1129	283	19	11	31	19	1	42	1002	11742	2554	665	19	44	42	24	25	9	1530	60	45	1617	105	229	3630	231	2063	1202	1040	1338	1070	2096	553	4200	775	5563	8808	4917	4395	13	111	50	2884	3858	2	12	13	6	7	49	3197	9887	3110	13716	20061	3213	2668	5486	4044	710	644	903	18	149	3203	357	2780	482	33	1	10
ASV_7	178	92	187	34	1311	978	53	47	64	930	768	3445	5836	6491	13669	37	81	78	8676	3689	7500	2054	769	1995	1714	10114	831	21	408	81	266	843	498	5509	6513	6605	1214	630	1377	1363	448	2839	1091	23	252	34	6	123	554	277	628	316	14	26	34	58	135	375	5	764	76	27	202	505	81	171	25	28	27	1170	325	902	741	713	1147	1044	2375	129	2504	911	2073	2519	1885	928
ASV_8	2514	136	1088	1408	16	73	1744	367	1360	2274	461	1729	3868	159	3445	4373	182	1826	1598	431	1167	308	13	340	442	8	74	32	54	1012	1491	186	1253	2658	157	1903	1625	497	994	1895	208	1411	2122	90	1901	1934	134	2089	2607	72	2502	2674	43	115	192	42	1747	348	8	867	513	35	289	1636	34	2116	1940	64	746	7433	354	6423	6422	96	3016	408	30	1513	1788	38	291	1707	207	1680
ASV_15	1735	2960	2293	42	5474	762	41	130	301	114	551	261	1479	231	70	137	1111	718	327	5797	998	1975	1344	1828	1538	3897	933	15	23	221	15	3	22	57	3567	273	1061	1206	590	62	46	362	171	160	102	66	3	48	105	2	17	265	100	298	194	243	367	9723	695	2561	2298	4194	906	330	577	107	41	169	42	32	3	90	543	1117	903	4	6	232	3067	2671	1960	8812	5683	6242
ASV_19	1152	154	169	751	55	798	828	130	832	2608	546	947	1925	214	612	166	77	209	751	403	983	4988	354	1463	2995	276	792	98	424	693	1879	2283	1224	4061	131	551	1064	636	595	2834	117	1562	2337	120	495	143	67	58	466	114	301	3376	670	907	1899	623	1033	500	1491	1364	1826	4081	1529	987	977	626	177	101	139	1653	129	642	3012	1829	1891	1096	4411	874	3627	2114	1582	2414	1664	1503
ASV_10	952	6	337	7862	19	2745	9056	75	2241	4519	103	3560	3643	86	1581	2739	60	4745	332	134	1905	1327	17	868	955	105	2657	380	286	1880	9968	195	3878	4878	239	1153	6161	138	1183	2706	31	1511	451	3	30	362	3	39	169	8	105	73	24	259	367	2	21	25	0	21	481	14	40	183	3	36	6	3	10	415	0	69	256	12	161	614	29	28	367	20	113	906	1	958
ASV_11	4460	1611	10931	732	35	115	760	2260	11350	434	1200	9224	724	537	5129	822	392	391	147	192	665	18	16	138	404	92	133	12	421	9160	402	331	934	1470	745	11401	72	137	775	1482	75	1414	183	22	174	137	3798	388	15	71	71	145	11	10	22	30	400	168	27	321	16	21	136	96	1	201	17	28	57	260	92	312	191	669	753	16	14	316	77	43	222	59	1	76
ASV_9	4768	134	3698	28	260	5715	64	51	383	2140	832	3769	259	19	393	83	210	293	89	157	862	572	238	4060	967	279	6390	40	136	336	236	139	584	1235	1030	4034	2269	5513	8585	264	30	1614	815	379	495	51	16	566	179	264	1029	8	5	19	15	6	24	453	20	1513	384	58	436	129	28	461	75	9	37	837	193	8337	51	36	225	162	4	31	1015	7	2452	273	25	486
ASV_22	1	641	25	7	173	3	7	5	10	10	10	0	656	11835	592	508	10849	886	19	306	318	0	1	0	4	3	2	4	7	4	62	2399	98	36	27	104	60	3162	458	6	365	54	283	183	16	348	4508	578	470	5024	879	1904	15	1	1	4694	2406	3	3	5	6	0	11	25	14	11	397	6987	464	1556	12199	889	788	641	242	1	4	2184	1	11	2	25	0	3
ASV_13	1421	54	533	2035	124	735	2490	498	1788	582	64	461	2088	30	1578	3974	237	1535	717	144	686	71	15	73	198	131	817	25	37	1402	707	116	639	1506	126	799	996	282	616	1795	127	1040	1896	48	1999	1671	95	1707	2293	99	2335	2601	44	109	172	75	1435	418	6	902	384	21	234	1810	38	2119	1867	87	567	4495	72	3039	5302	44	2386	300	21	1274	1818	49	283	1331	186	1355
